Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
56,Non-binary,PhD,Married,21084.0,702.0,22039.0,Personal,Employed,19,Fair,0.23104637400031283,226053.0,2.0,East James,MP,Isle of Man,0.0,2,Medium
26,Female,PhD,Divorced,51460.0,,29970.0,Business,Unemployed,19,Excellent,0.43023258760059047,252797.0,1.0,West Jack,DE,Tonga,3.0,0,Medium
22,Non-binary,PhD,Widowed,100169.0,796.0,,Home,Employed,15,Poor,0.17474318523176705,259802.0,3.0,Lake Alicia,UT,Kenya,2.0,0,Medium
37,Non-binary,PhD,Single,,664.0,34904.0,Auto,Self-employed,12,Excellent,0.10628146368738692,152686.0,,Lake Timothy,PR,Zambia,3.0,0,Medium
64,Non-binary,Bachelor's,Divorced,118318.0,702.0,41029.0,Business,Unemployed,10,Poor,0.2283514732418546,,1.0,West Meghanshire,KS,Oman,3.0,1,Low
55,Female,High School,Divorced,61811.0,641.0,43859.0,Auto,Self-employed,18,Excellent,0.19970708636140075,185670.0,,Aprilland,NH,Uruguay,,0,Low
41,Male,PhD,Single,94796.0,742.0,,Business,Unemployed,16,Good,0.3558083758731121,129119.0,2.0,Brittanyton,VI,Gambia,3.0,0,Low
36,Non-binary,PhD,Single,85355.0,667.0,18834.0,Auto,Employed,8,Poor,0.19889771110843277,,4.0,Michaelborough,CO,Iran,2.0,2,Medium
41,Male,PhD,Married,93133.0,791.0,14052.0,Business,Employed,13,Poor,0.2828500570626953,82774.0,0.0,Lewisland,AZ,South Georgia and the South Sandwich Islands,1.0,0,Low
64,Female,PhD,Married,,749.0,38635.0,Personal,Self-employed,16,Fair,0.32023026646936903,,3.0,West James,OR,Palau,0.0,1,Low
64,Male,PhD,Married,,636.0,21086.0,Auto,Employed,13,Fair,0.46098540243517405,261445.0,,South Ryan,IA,Tokelau,4.0,2,Low
34,Male,PhD,Married,115201.0,,21315.0,Personal,Unemployed,10,Poor,0.2439426635866098,81794.0,1.0,Marchaven,VA,Saint Pierre and Miquelon,1.0,2,Medium
49,Non-binary,High School,Divorced,109882.0,,35938.0,Home,Unemployed,3,Excellent,0.48943767459090737,237388.0,,Pattersonshire,GA,Hungary,2.0,0,Low
48,Non-binary,PhD,Married,46408.0,632.0,48403.0,Personal,Unemployed,16,Excellent,0.1853253064176966,93647.0,3.0,South Jason,KS,Guyana,1.0,0,Low
69,Non-binary,PhD,Single,38065.0,,15818.0,Business,Self-employed,8,Poor,0.39197931307245437,107451.0,3.0,South Peterbury,ID,Cote d'Ivoire,0.0,1,Low
57,Female,Bachelor's,Widowed,,673.0,16398.0,Business,Self-employed,8,Fair,0.48378434500169776,159119.0,1.0,West Michael,TN,Nauru,1.0,0,Low
46,Non-binary,High School,Widowed,,637.0,6382.0,Auto,Self-employed,2,Good,0.5443904001187262,156010.0,4.0,Kevinbury,NM,Guam,2.0,1,Low
49,Male,Bachelor's,Divorced,117392.0,685.0,,Business,Self-employed,12,Good,0.47060051929191327,261093.0,3.0,North Michael,HI,Burundi,1.0,0,Medium
57,Female,Master's,Single,54754.0,604.0,11947.0,Home,Self-employed,13,Good,0.28741859356037425,282006.0,,Berryland,VT,Thailand,2.0,0,High
41,Non-binary,High School,Divorced,109379.0,606.0,5252.0,Home,Self-employed,16,Poor,0.45445803658162565,,2.0,South Josefurt,OR,Belize,,2,Low
47,Female,High School,Single,33065.0,783.0,6895.0,Auto,Self-employed,2,Fair,0.11668091553077334,158428.0,3.0,West Sharon,AL,Seychelles,2.0,0,Low
64,Male,Master's,Single,,,,Personal,Unemployed,16,Excellent,0.4584813509673704,108664.0,,Lake Joshuahaven,MO,Sao Tome and Principe,,1,Low
35,Female,High School,Single,101496.0,715.0,16971.0,Home,Employed,17,Fair,0.5337873095239466,271400.0,1.0,Michaelburgh,TX,Anguilla,,0,Medium
35,Female,PhD,Divorced,42787.0,,14949.0,Home,Employed,19,Excellent,0.2249910829584871,227655.0,4.0,West Donna,WY,Svalbard & Jan Mayen Islands,2.0,2,Low
18,Female,Master's,Divorced,,748.0,14522.0,Home,Unemployed,14,Good,0.5628099578361062,176629.0,,Campbellfort,AL,China,1.0,2,Low
21,Male,Bachelor's,Widowed,73952.0,631.0,49525.0,Auto,Unemployed,3,Excellent,0.1436440906212159,32912.0,0.0,West Denisebury,KY,French Guiana,1.0,2,Low
67,Non-binary,Master's,Divorced,54247.0,,5011.0,Personal,Unemployed,7,Excellent,0.34465188328801366,239162.0,3.0,Mataside,AZ,Iceland,0.0,0,Low
49,Male,Bachelor's,Married,85689.0,,,Personal,Unemployed,2,Excellent,0.33600942678929224,232433.0,0.0,Camposland,WA,Niue,0.0,0,Medium
30,Female,Bachelor's,Divorced,59593.0,691.0,,Business,Unemployed,8,Good,0.4240794529319718,279118.0,3.0,Mckeeborough,RI,Martinique,2.0,0,Low
28,Non-binary,Bachelor's,Married,69237.0,,46898.0,Personal,Employed,12,Excellent,0.5162554971778389,89494.0,1.0,Conniehaven,VT,Tajikistan,3.0,2,Low
65,Male,PhD,Widowed,77146.0,796.0,38386.0,Business,Self-employed,17,Fair,0.3231863863545411,262145.0,0.0,Johnsonside,LA,Vietnam,4.0,1,Medium
68,Female,PhD,Single,59300.0,,34783.0,Auto,Employed,3,Excellent,0.2357605393664252,270400.0,,West Patrick,WY,Bouvet Island (Bouvetoya),0.0,2,Low
59,Non-binary,Bachelor's,Married,82233.0,,45345.0,Personal,Self-employed,9,Poor,0.47153062888544883,208180.0,1.0,South Heather,DE,Kuwait,4.0,1,Low
39,Non-binary,PhD,Single,93509.0,703.0,16651.0,Auto,Unemployed,5,Fair,0.5285823483026814,270036.0,0.0,North Joshuaborough,MI,Falkland Islands (Malvinas),0.0,0,Medium
64,Non-binary,Bachelor's,Married,,763.0,,Business,Employed,6,Fair,0.3020388782889981,272412.0,2.0,Williamston,WV,British Indian Ocean Territory (Chagos Archipelago),1.0,0,Low
69,Non-binary,High School,Divorced,,721.0,39416.0,Personal,Unemployed,4,Excellent,0.41804562248879085,80601.0,,Herrerafurt,RI,Holy See (Vatican City State),2.0,1,Medium
29,Male,Bachelor's,Divorced,85164.0,710.0,14441.0,Personal,Unemployed,2,Poor,0.25782855255454107,64687.0,1.0,South Austinhaven,HI,Niue,,0,Medium
47,Male,High School,Widowed,119747.0,613.0,26507.0,Business,Self-employed,10,Good,0.46492482988879213,221402.0,,Rickymouth,CO,Sao Tome and Principe,1.0,0,Medium
27,Non-binary,Bachelor's,Married,93728.0,727.0,,Auto,Unemployed,11,Poor,0.4071845094221763,203446.0,1.0,West Davidchester,AS,Singapore,,1,Low
54,Non-binary,PhD,Married,100908.0,764.0,,Business,Employed,18,Fair,0.24080921899679622,250753.0,3.0,East Adam,MH,Georgia,,0,Medium
67,Male,PhD,Widowed,,608.0,12657.0,Business,Unemployed,18,Good,0.4657601852969202,107089.0,1.0,East Anthony,ND,Guam,0.0,0,Medium
36,Male,Bachelor's,Divorced,29868.0,635.0,12521.0,Auto,Employed,17,Excellent,0.3504541332462523,240325.0,2.0,Wendyshire,ND,Dominica,4.0,0,Low
36,Female,Master's,Married,68776.0,612.0,47707.0,Personal,Unemployed,11,Fair,0.3323967910462594,68491.0,0.0,Port Christopher,NY,Brunei Darussalam,1.0,1,Low
54,Female,Bachelor's,Married,98669.0,720.0,19464.0,Business,Unemployed,2,Poor,0.1679040914919637,26571.0,0.0,Smithview,IA,French Polynesia,1.0,0,High
19,Non-binary,Master's,Single,112545.0,712.0,15503.0,Home,Unemployed,7,Poor,0.25217285401685385,194154.0,0.0,Ibarraport,NJ,Zimbabwe,4.0,0,Low
39,Non-binary,PhD,Widowed,118717.0,647.0,10656.0,Home,Self-employed,12,Poor,0.18563450376430987,168504.0,1.0,Dennismouth,WY,Serbia,,2,Low
48,Male,Bachelor's,Single,,649.0,38575.0,Home,Self-employed,3,Fair,0.4300905175730714,143440.0,3.0,Kimstad,CT,Taiwan,0.0,0,Medium
64,Male,Bachelor's,Single,52822.0,636.0,37391.0,Business,Employed,12,Excellent,0.49869876320090667,,,Johnsonbury,WV,Pakistan,1.0,1,Medium
44,Non-binary,PhD,Widowed,51280.0,750.0,22162.0,Home,Employed,11,Excellent,0.5501304950345566,87579.0,3.0,East Danielmouth,AS,Haiti,1.0,2,Medium
55,Female,Bachelor's,Divorced,63915.0,,10084.0,Personal,Employed,7,Good,0.3623974462319608,,2.0,Wilsonton,MH,San Marino,1.0,0,High
34,Female,Master's,Widowed,67046.0,,11753.0,Personal,Unemployed,12,Fair,0.31950017526237895,90851.0,,Hinesberg,DE,Kazakhstan,0.0,2,Low
65,Male,Master's,Divorced,106526.0,650.0,23161.0,Auto,Employed,19,Poor,0.5448673968438962,98025.0,4.0,Richardbury,ID,Armenia,0.0,0,Low
68,Non-binary,Master's,Married,,700.0,23834.0,Auto,Employed,1,Excellent,0.16812370874404223,147082.0,4.0,Johnsonview,IL,Netherlands,2.0,0,Low
47,Female,Bachelor's,Divorced,91691.0,,42140.0,Auto,Unemployed,7,Fair,0.5684742445225539,235362.0,,Andrewside,TX,Greece,1.0,0,Medium
20,Male,Master's,Widowed,,692.0,16283.0,Home,Self-employed,4,Good,0.46607552614077896,144758.0,3.0,New Laurabury,MA,Somalia,1.0,1,Low
36,Non-binary,Bachelor's,Widowed,37105.0,720.0,33259.0,Home,Employed,7,Fair,0.41277702763585167,294048.0,2.0,Yvonneland,NY,Brunei Darussalam,3.0,1,Medium
62,Female,Bachelor's,Single,31063.0,793.0,,Personal,Self-employed,7,Good,0.1439361009741252,226298.0,1.0,South Darrell,VI,Latvia,,1,Low
35,Female,High School,Married,,,9833.0,Personal,Self-employed,17,Fair,0.15549508205473309,131120.0,2.0,Cynthiashire,CO,Mexico,,0,High
66,Female,Bachelor's,Single,,,23993.0,Personal,Self-employed,19,Poor,0.150792728571523,60925.0,2.0,Thomasmouth,MP,French Southern Territories,,2,Low
50,Non-binary,Master's,Single,56108.0,796.0,,Personal,Self-employed,4,Excellent,0.11149470330307934,97144.0,2.0,Michelleland,CO,Kazakhstan,3.0,1,High
31,Female,Bachelor's,Married,69625.0,636.0,15188.0,Home,Unemployed,19,Excellent,0.5066343734916606,,0.0,Davisport,NJ,Sao Tome and Principe,1.0,0,Low
38,Non-binary,Master's,Divorced,82093.0,726.0,20454.0,Home,Self-employed,5,Good,0.1902219589365449,39434.0,2.0,East Brian,PW,South Africa,,0,High
39,Female,Master's,Widowed,100015.0,615.0,23114.0,Business,Unemployed,14,Poor,0.48464249052051134,85309.0,0.0,New Meganshire,NV,French Polynesia,3.0,0,Low
50,Female,Master's,Divorced,96293.0,708.0,21552.0,Auto,Employed,3,Excellent,0.12939420972283414,255942.0,4.0,Port Amy,FM,Egypt,0.0,1,Low
49,Non-binary,Bachelor's,Single,30680.0,,24840.0,Auto,Self-employed,5,Excellent,0.24302379830888446,101996.0,,Port Rebecca,CA,Svalbard & Jan Mayen Islands,3.0,1,Low
24,Male,Bachelor's,Single,,627.0,,Personal,Self-employed,12,Fair,0.25569668751490426,147499.0,3.0,East Helenhaven,VT,French Southern Territories,4.0,2,Low
23,Male,Bachelor's,Married,62541.0,680.0,,Business,Employed,8,Excellent,0.24454654479820484,,4.0,Port Joseph,RI,San Marino,,2,Medium
38,Non-binary,Bachelor's,Single,48069.0,670.0,17841.0,Home,Unemployed,17,Excellent,0.15751912714088298,241550.0,2.0,Jacksonmouth,WA,Jordan,0.0,2,Low
28,Female,High School,Married,56895.0,,,Personal,Self-employed,14,Poor,0.2276173239641863,128403.0,2.0,North Marcbury,WA,Turkey,1.0,1,Low
35,Female,PhD,Married,72433.0,792.0,5747.0,Business,Self-employed,4,Good,0.3273739345775527,112076.0,0.0,Andreaborough,NC,Thailand,3.0,2,Low
50,Non-binary,PhD,Divorced,,640.0,47751.0,Auto,Self-employed,10,Fair,0.3435551673217264,,3.0,Cynthiabury,DC,Zimbabwe,4.0,0,Medium
56,Female,Master's,Single,,734.0,40516.0,Auto,Self-employed,9,Poor,0.3782068747372548,203231.0,1.0,New Zachary,IN,Swaziland,3.0,1,Low
22,Non-binary,Master's,Widowed,65266.0,617.0,34746.0,Home,Unemployed,18,Poor,0.26894428062818065,40215.0,4.0,Taylormouth,ND,Botswana,1.0,1,Low
40,Male,Master's,Widowed,98578.0,663.0,8747.0,Auto,Self-employed,1,Good,0.5146706368606976,37396.0,0.0,Jacobview,WV,Russian Federation,0.0,1,Low
39,Male,High School,Married,90227.0,770.0,18079.0,Business,Employed,3,Poor,0.5187589537006945,163838.0,1.0,South Brianna,GU,Mali,0.0,1,Low
31,Non-binary,High School,Divorced,107081.0,740.0,18101.0,Business,Employed,5,Poor,0.10879381712622424,25157.0,2.0,Gordonbury,AL,Ukraine,1.0,2,Low
45,Female,High School,Widowed,82878.0,748.0,17023.0,Auto,Self-employed,19,Poor,0.5849112572624202,192705.0,4.0,Penamouth,NH,Ethiopia,4.0,1,Low
62,Non-binary,Bachelor's,Widowed,46439.0,645.0,,Auto,Employed,6,Poor,0.443604125471908,277288.0,,East Kevinmouth,VI,Togo,,2,Low
34,Non-binary,High School,Widowed,44085.0,687.0,,Home,Unemployed,9,Poor,0.44893789146698004,253262.0,2.0,Lake Ashleyland,AR,Belize,0.0,1,Low
19,Male,High School,Married,35817.0,731.0,44426.0,Home,Unemployed,1,Fair,0.5054597465036814,20626.0,1.0,East Triciatown,WI,Angola,0.0,2,Low
49,Non-binary,Bachelor's,Married,54648.0,,20427.0,Personal,Unemployed,8,Fair,0.12147299481693427,276619.0,1.0,West Mirandaborough,MA,Anguilla,4.0,0,Medium
36,Female,High School,Married,65104.0,699.0,44260.0,Home,Employed,2,Excellent,0.3377617250479925,135458.0,4.0,Zacharyhaven,NM,Guatemala,2.0,2,Low
43,Male,PhD,Married,109698.0,793.0,46500.0,Personal,Self-employed,11,Good,0.3478511554395459,159076.0,,Tristanland,AZ,United States Minor Outlying Islands,1.0,1,Medium
23,Male,Bachelor's,Single,28906.0,724.0,24532.0,Business,Unemployed,3,Poor,0.500613650535156,96640.0,2.0,Lake Evelynstad,CA,Monaco,0.0,0,Low
22,Male,Master's,Widowed,104766.0,764.0,16117.0,Business,Unemployed,17,Good,0.21152506121479356,156630.0,3.0,New Shannonberg,KY,Gambia,3.0,1,Low
41,Female,Master's,Widowed,79556.0,742.0,5235.0,Home,Employed,5,Excellent,0.32235613895656123,247857.0,0.0,Onealfurt,WA,Romania,4.0,0,Low
57,Male,Master's,Single,116102.0,629.0,31831.0,Home,Employed,16,Excellent,0.5163625127453508,228018.0,4.0,Smithborough,IA,Palestinian Territory,2.0,0,Medium
31,Female,PhD,Widowed,105141.0,,41006.0,Auto,Self-employed,3,Good,0.1627741779293815,26499.0,3.0,Traceyton,SD,Suriname,1.0,2,Low
58,Non-binary,High School,Widowed,20947.0,776.0,38756.0,Personal,Unemployed,0,Good,0.2184032242675136,91848.0,4.0,North Jeff,MT,Burundi,,1,Low
36,Non-binary,PhD,Single,,660.0,11157.0,Home,Self-employed,7,Excellent,0.29757794518609515,,2.0,Diazton,WV,Guatemala,2.0,0,Medium
52,Male,High School,Married,32094.0,634.0,17612.0,Home,Self-employed,17,Good,0.5494565438929674,114375.0,2.0,West Robert,IA,Singapore,2.0,0,Medium
22,Female,High School,Single,67984.0,,49459.0,Business,Employed,12,Fair,0.13482981027735172,174044.0,3.0,West Daniel,MS,Malawi,,0,Medium
55,Non-binary,Master's,Widowed,108177.0,735.0,23616.0,Business,Employed,12,Fair,0.33528435621267094,165613.0,2.0,Barneston,CA,Saint Pierre and Miquelon,1.0,2,Medium
44,Female,High School,Divorced,30295.0,686.0,,Home,Unemployed,19,Good,0.25278331057851144,,0.0,East Ian,PW,Costa Rica,0.0,2,Low
41,Female,PhD,Widowed,96591.0,722.0,7260.0,Home,Employed,12,Fair,0.5844948094433683,102681.0,0.0,New Shelby,KS,Lesotho,2.0,2,Medium
33,Male,PhD,Single,,624.0,47874.0,Personal,Employed,13,Excellent,0.45520834257353227,28057.0,1.0,North Jodyside,NM,Brazil,,1,Low
40,Male,Master's,Married,83865.0,663.0,15896.0,Auto,Unemployed,6,Excellent,0.35870465100780347,,3.0,West Jeffrey,MT,India,0.0,2,Low
53,Female,High School,Married,51236.0,718.0,31196.0,Personal,Self-employed,3,Poor,0.16863060735388194,45029.0,1.0,Ellenbury,AS,Uruguay,,1,Low
18,Non-binary,Master's,Single,,651.0,18653.0,Home,Self-employed,16,Good,0.49222995000773917,226806.0,0.0,Curtisville,PW,Mayotte,3.0,1,High
37,Non-binary,High School,Divorced,42970.0,703.0,,Personal,Employed,12,Poor,0.35868727346888574,,,East Jesse,PW,Finland,1.0,2,Medium
36,Non-binary,PhD,Divorced,101863.0,688.0,31132.0,Business,Employed,2,Poor,0.21940311367980872,149141.0,3.0,Dunnhaven,MN,Saint Pierre and Miquelon,,2,Low
67,Male,Master's,Widowed,107366.0,655.0,20154.0,Home,Employed,9,Poor,0.4166178675119605,108345.0,4.0,New Valerie,GA,Monaco,4.0,1,Low
62,Female,PhD,Widowed,101848.0,699.0,45635.0,Home,Self-employed,7,Poor,0.5916533331137226,,,Payneville,NH,Kuwait,,2,High
60,Female,PhD,Married,74030.0,711.0,9459.0,Personal,Unemployed,19,Fair,0.16067688801782584,96641.0,2.0,Lake Daniel,PW,Argentina,0.0,2,Low
39,Male,Master's,Divorced,56116.0,636.0,16578.0,Personal,Employed,12,Excellent,0.3131077322681647,197835.0,1.0,Johnnyberg,NY,South Africa,1.0,0,Medium
59,Male,PhD,Single,103794.0,,9288.0,Auto,Unemployed,2,Excellent,0.4121094777318487,195205.0,,Williamsport,WV,Paraguay,2.0,1,Low
50,Male,Bachelor's,Married,79300.0,697.0,26963.0,Home,Employed,1,Good,0.21672241925337712,,,New Derekmouth,MH,Mozambique,0.0,1,Low
64,Male,PhD,Single,101855.0,686.0,48584.0,Auto,Self-employed,9,Good,0.5725244059508022,138039.0,3.0,East Keith,MS,El Salvador,3.0,1,Low
40,Male,PhD,Single,89535.0,624.0,12990.0,Auto,Unemployed,6,Good,0.11735507139335563,48187.0,,South Haileyview,NC,Suriname,3.0,2,Low
18,Non-binary,PhD,Divorced,107329.0,735.0,22694.0,Home,Self-employed,1,Poor,0.232809019850618,71327.0,4.0,East Michael,MP,Netherlands Antilles,,1,Low
42,Non-binary,Master's,Widowed,61048.0,,17631.0,Business,Employed,19,Excellent,0.26638374685860755,252248.0,1.0,Strongport,OH,Russian Federation,3.0,0,Low
39,Non-binary,High School,Widowed,99622.0,720.0,23158.0,Auto,Employed,6,Good,0.4198139284173301,65046.0,4.0,New Ashley,MN,El Salvador,2.0,1,Low
67,Male,PhD,Divorced,110896.0,689.0,11503.0,Business,Self-employed,9,Excellent,0.10625170343049303,121360.0,0.0,New Russellfurt,HI,Jersey,2.0,0,Medium
28,Female,PhD,Single,64541.0,703.0,20017.0,Auto,Self-employed,1,Good,0.2063119883207453,24856.0,4.0,Lake Keithtown,MO,Suriname,1.0,1,High
53,Non-binary,PhD,Single,26613.0,771.0,6982.0,Auto,Employed,5,Fair,0.10719828661843081,56108.0,2.0,Gouldbury,CO,Maldives,,0,Low
40,Male,Bachelor's,Divorced,,721.0,41599.0,Auto,Unemployed,19,Fair,0.3639037948038988,234986.0,,South Amanda,HI,Iran,1.0,1,Low
31,Female,PhD,Widowed,50885.0,669.0,18293.0,Home,Unemployed,7,Poor,0.2585700348588018,99103.0,4.0,Margaretchester,KY,Mayotte,3.0,2,Low
48,Male,Master's,Divorced,107050.0,711.0,14382.0,Business,Self-employed,3,Excellent,0.5021079663602153,142063.0,1.0,New Janet,CT,Samoa,1.0,1,Medium
20,Non-binary,PhD,Divorced,,713.0,19353.0,Personal,Self-employed,7,Good,0.5541830828667861,253330.0,3.0,Stephanieborough,OR,Bosnia and Herzegovina,,1,Medium
20,Non-binary,Master's,Widowed,91540.0,760.0,,Business,Employed,16,Poor,0.23262826422509156,177884.0,,East Territown,NE,Wallis and Futuna,0.0,0,Low
22,Male,PhD,Single,,632.0,,Personal,Unemployed,1,Excellent,0.1260012229460931,83144.0,4.0,Port Tylermouth,HI,Sweden,3.0,1,Medium
35,Male,High School,Divorced,114877.0,699.0,46113.0,Business,Unemployed,6,Excellent,0.389906857140349,254153.0,0.0,Port Andreamouth,WV,Luxembourg,1.0,1,Medium
36,Female,Bachelor's,Divorced,44283.0,755.0,42326.0,Personal,Self-employed,7,Poor,0.11613530899467392,228890.0,4.0,Turnerchester,NV,Micronesia,0.0,2,Low
59,Female,High School,Single,60385.0,743.0,30961.0,Business,Self-employed,19,Excellent,0.3837790169957481,222830.0,4.0,Greenport,WV,Azerbaijan,2.0,0,Low
28,Male,Master's,Divorced,,618.0,,Personal,Unemployed,14,Poor,0.34611190134203185,25885.0,3.0,South Jeremy,SC,Myanmar,0.0,0,Medium
66,Female,Master's,Divorced,47785.0,,14137.0,Auto,Employed,16,Fair,0.3698470664950222,147601.0,1.0,South Maria,NM,Czech Republic,4.0,0,Medium
36,Non-binary,Bachelor's,Single,69895.0,680.0,13132.0,Business,Unemployed,18,Poor,0.5932812650426245,,2.0,Heathermouth,ME,Turkey,0.0,0,Low
60,Male,High School,Divorced,61559.0,623.0,9038.0,Home,Unemployed,16,Fair,0.5306407750002788,,1.0,New Kevin,OH,Guinea-Bissau,,1,Low
63,Female,High School,Single,40113.0,722.0,5044.0,Personal,Employed,1,Excellent,0.49624445751087065,159493.0,3.0,New Martinberg,OR,Cyprus,,2,Low
43,Female,Bachelor's,Single,29797.0,727.0,10640.0,Business,Self-employed,14,Excellent,0.5093030635544635,89291.0,4.0,Frankport,NE,Austria,3.0,0,Low
39,Non-binary,Bachelor's,Divorced,31137.0,757.0,7326.0,Personal,Unemployed,9,Poor,0.4417942672230454,68848.0,3.0,North Nathantown,MN,Indonesia,1.0,2,Medium
62,Female,PhD,Divorced,115923.0,726.0,37406.0,Personal,Self-employed,17,Good,0.2873108782096099,154178.0,1.0,West Elizabethside,MA,Peru,2.0,1,High
39,Male,High School,Single,117661.0,763.0,8876.0,Home,Unemployed,15,Poor,0.5651184233291675,,2.0,New Brianshire,PW,Armenia,2.0,1,Low
22,Female,High School,Widowed,69738.0,727.0,15974.0,Auto,Self-employed,10,Good,0.3874834568199873,238717.0,1.0,New Kathryn,OR,Norway,0.0,1,Low
59,Female,Master's,Divorced,91035.0,,44865.0,Personal,Self-employed,5,Poor,0.42750553658288215,,,Kristinfort,AR,Algeria,1.0,0,Medium
37,Non-binary,PhD,Divorced,76795.0,645.0,33454.0,Personal,Self-employed,13,Excellent,0.508511241522257,40258.0,4.0,Andreaborough,NV,Bangladesh,3.0,0,Low
58,Male,PhD,Single,69029.0,,39742.0,Auto,Unemployed,12,Fair,0.3696068464596495,,4.0,Phillipsbury,AL,American Samoa,4.0,1,Low
47,Female,PhD,Married,65463.0,710.0,,Home,Unemployed,4,Good,0.5093551584284272,230368.0,4.0,Anthonyside,NH,Ireland,4.0,2,Low
58,Non-binary,Bachelor's,Single,,791.0,34903.0,Auto,Self-employed,7,Good,0.1774893093553507,236635.0,3.0,New Marisashire,NE,Namibia,0.0,0,Low
51,Non-binary,Bachelor's,Married,40561.0,632.0,42722.0,Personal,Unemployed,3,Good,0.3818998342895037,,,North Feliciaville,VA,Iran,0.0,2,Low
25,Female,Bachelor's,Single,23159.0,634.0,,Business,Employed,11,Good,0.59340690202258,241024.0,3.0,Stevensonborough,NV,Egypt,,2,Medium
27,Non-binary,High School,Widowed,61232.0,643.0,46522.0,Business,Unemployed,6,Fair,0.15109907462869607,285561.0,2.0,Villafurt,RI,Sao Tome and Principe,2.0,0,Low
36,Female,Bachelor's,Single,108304.0,675.0,46461.0,Auto,Self-employed,15,Excellent,0.13400432719747615,,0.0,South Teresaburgh,IL,Japan,1.0,2,Medium
56,Non-binary,Bachelor's,Widowed,,728.0,42333.0,Home,Employed,17,Good,0.34546291141135543,,2.0,Amandabury,NC,Australia,3.0,2,Low
34,Female,High School,Widowed,118679.0,731.0,40823.0,Auto,Employed,6,Poor,0.3539516327477644,63853.0,,North Jeremy,AS,Georgia,0.0,2,Low
