code,current,name,gender,function,category,country_code,country,country_long,disciplines,events,birth_date
1559066,True,FORSBERG Thomas,Male,Assistant Coach,C,SWE,Sweden,Sweden,Handball,Women,1980-09-04
1559067,True,AXNER Tomas,Male,Head Coach,C,SWE,Sweden,Sweden,Handball,Women,1969-11-30
1560169,True,DIOVOL Alioune,Male,Coach,C,SEN,Senegal,Senegal,Taekwondo,,1979-06-19
1561282,True,da ROCHA Cristiano,Male,Head Coach,C,BRA,Brazil,Brazil,Handball,Women,1981-06-10
1561719,True,ALTENBURG Valentin,Male,Head Coach,C,GER,Germany,Germany,Hockey,,1981-06-04
1561732,True,HENNING Andre,Male,Head Coach,C,GER,Germany,Germany,Hockey,,1983-12-03
1561734,True,SCHMITZ Johannes,Male,Assistant Coach,C,GER,Germany,Germany,Hockey,,1988-03-23
1561740,True,ARKELL Robin,Male,Coach,C,GER,Germany,Germany,Hockey,,1988-05-18
1561741,True,GADEMAN Pasha,Male,Assistant Coach,C,GER,Germany,Germany,Hockey,,1988-03-06
1562260,True,WEIDINGER Markus,Male,Coach,C,AUT,Austria,Austria,Taekwondo,,1984-12-25
1562563,True,SOLBERG Glenn,Male,Head Coach,C,SWE,Sweden,Sweden,Handball,Men,1972-02-18
1562564,True,SVENSSON Tomas,Male,Assistant Coach,C,SWE,Sweden,Sweden,Handball,Men,1968-02-15
1562566,True,APELGREN Michael,Male,Assistant Coach,C,SWE,Sweden,Sweden,Handball,Men,1984-08-20
1562778,True,TANKOUCHEV Milko,Male,Coach,C,BUL,Bulgaria,Bulgaria,Artistic Gymnastics,,1958-12-15
1562790,True,YANEV Filip,Male,Coach,C,BUL,Bulgaria,Bulgaria,Artistic Gymnastics,,1982-03-10
1562963,True,WINIARSKI Michal,Male,Head Coach,C,GER,Germany,Germany,Volleyball,Men,1983-09-28
1562973,True,RANNER Thomas,Male,Assistant Coach,C,GER,Germany,Germany,Volleyball,Men,1987-07-31
1562974,True,POSMYK Dominik,Male,Assistant Coach,C,GER,Germany,Germany,Volleyball,Men,1995-08-12
1563661,True,SALLAH Mariama M.,Female,Coach,C,GAM,Gambia,Gambia,Taekwondo,,1975-01-17
1563956,True,TUMILTY Mark,Male,Head Coach,C,IRL,Ireland,Ireland,Hockey,,
1563966,True,TOTH Balazs,Male,Coach,C,GER,Germany,Germany,Taekwondo,,1983-08-31
1564287,True,QUSAI MUNIR,Male,Assistant Coach,C,IRQ,Iraq,Iraq,Football,Men,1980-04-12
1564321,True,CRUZ LOPEZ Jose L,Male,Assistant Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Men,1969-10-03
1564323,True,COLON Nelson,Male,Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Men,1978-01-24
1564325,True,CRUZ Rafael,Male,Assistant Coach,C,PUR,Puerto Rico,Puerto Rico,Basketball,Men,1979-08-14
1564413,True,BESHEER Gamal,Male,Coach,C,EGY,Egypt,Egypt,Artistic Gymnastics,,1970-10-30
1564469,True,MOHAMED Ahmed,Male,Coach,C,EGY,Egypt,Egypt,Artistic Gymnastics,,1986-11-26
1564470,True,ABDELMEGUID Zakaria,Male,Coach,C,EGY,Egypt,Egypt,Artistic Gymnastics,,1975-02-23
1564477,True,MOHAMED Mayar,Female,Coach,C,EGY,Egypt,Egypt,Rhythmic Gymnastics,,1992-07-14
1564481,True,HUSSEIN Noha,Female,Coach,C,EGY,Egypt,Egypt,Rhythmic Gymnastics,,1988-02-09
1565043,True,MOUNDOUNGA KOMBILA Stephane,Male,Coach,C,GAB,Gabon,Gabon,Taekwondo,,1986-11-07
1565143,True,MLADENOVA Albena,Female,Coach,C,AUT,Austria,Austria,Artistic Swimming,Duet,1964-06-10
1565591,True,AL-ASSAF Faris,Male,Coach,C,JOR,Jordan,Jordan,Taekwondo,,1981-11-21
1565609,True,ALSADEQ Yazan,Male,Coach,C,JOR,Jordan,Jordan,Taekwondo,,1993-06-29
1565612,True,ALJALLAD Riham,Female,Coach,C,JOR,Jordan,Jordan,Taekwondo,,1983-05-06
1565657,True,KRAVCHENKO Sergiy,Male,Assistant Coach,C,UKR,Ukraine,Ukraine,Football,,1983-04-24
1565672,True,ROTAN Ruslan,Male,Head Coach,C,UKR,Ukraine,Ukraine,Football,Men,
1565759,True,SIREKANYAN Gurgen,Male,Coach,C,JOR,Jordan,Jordan,Artistic Gymnastics,,1981-11-15
1566325,True,FREHSE Gabriele,Female,Coach,C,AUT,Austria,Austria,Artistic Gymnastics,,1960-10-25
1566746,True,SAHIN Ali,Male,Coach,C,TUR,Türkiye,Türkiye,Taekwondo,,1967-06-02
1566749,True,TAZEGUL Servet,Male,Coach,C,TUR,Türkiye,Türkiye,Taekwondo,,1988-09-26
1567065,True,BABEL Vincent,Male,Coach,C,SUR,Suriname,Suriname,Taekwondo,,1975-06-26
1568152,True,GOKTEKIN Yilmaz,Male,Coach,C,TUR,Türkiye,Türkiye,Artistic Gymnastics,,1972-01-01
1568153,True,NURI Tufan,Male,Coach,C,TUR,Türkiye,Türkiye,Artistic Gymnastics,,1991-01-01
1568648,True,GOJKOVIC Vladimir,Male,Head Coach,C,MNE,Montenegro,Montenegro,Water Polo,Men,1981-01-29
1569994,True,TOMAS Toni,Male,Coach,C,GBR,Great Britain,Great Britain,Taekwondo,,1980-12-17
1569995,True,LAURA Veljko,Male,Coach,C,CRO,Croatia,Croatia,Taekwondo,,1984-08-12
1569996,True,MESAROV Dejan,Male,Coach,C,CRO,Croatia,Croatia,Taekwondo,,1983-07-06
1572261,True,GALAMBOS Bence,Male,Coach,C,HUN,Hungary,Hungary,Taekwondo,,1992-11-30
1572269,True,MARTON Luana,Female,Coach,C,HUN,Hungary,Hungary,Taekwondo,,2006-02-16
1572364,True,SALIM Gergely,Male,Coach,C,HUN,Hungary,Hungary,Taekwondo,,1972-04-01
1572370,True,SALIM Sharif Gergely,Male,Coach,C,HUN,Hungary,Hungary,Taekwondo,,2002-02-26
1572373,True,MIKKONEN Suvi,Female,Coach,C,HUN,Hungary,Hungary,Taekwondo,,1988-07-11
1572650,True,ROUSSEAUX Emile,Male,Head Coach,C,FRA,France,France,Volleyball,Women,1961-04-03
1572652,True,ANDRE Felix,Male,Assistant Coach,C,FRA,France,France,Volleyball,Women,1987-03-19
1572654,True,GAUTHIER Charles,Male,Assistant Coach,C,FRA,France,France,Volleyball,Women,1981-12-31
1573466,True,TOUPANE Jean Aime,Male,Coach,C,FRA,France,France,Basketball,Women,1958-01-12
1573467,True,MELAIN Catherine,Female,Assistant Coach,C,FRA,France,France,Basketball,Women,1974-05-19
1573468,True,GAUTIER David,Male,Assistant Coach,C,FRA,France,France,Basketball,,1980-01-08
1573469,True,HALIN Gregory,Male,Coach,C,FRA,France,France,Basketball,,1972-04-12
1573470,True,LEONARD Christophe,Male,Coach,C,FRA,France,France,Basketball,,1990-01-03
1573668,True,COLLET Vincent,Male,Coach,C,FRA,France,France,Basketball,Men,1963-06-06
1573669,True,DONNADIEU Pascal,Male,Assistant Coach,C,FRA,France,France,Basketball,Men,1964-05-29
1573670,True,ATKINSON Kenny,Male,Assistant Coach,C,FRA,France,France,Basketball,Men,1967-06-02
1573671,True,NELHOMME Ruddy,Male,Coach,C,FRA,France,France,Basketball,,1972-03-15
1573672,True,GOMIS Joseph,Male,Coach,C,FRA,France,France,Basketball,,1978-07-02
1574076,True,CIAMARRA Roberto,Male,Assistant Coach,C,FRA,France,France,Volleyball,Men,1982-03-30
1574080,True,GEILER Loic,Male,Assistant Coach,C,FRA,France,France,Volleyball,Men,1984-04-14
1574082,True,GIANI Andrea,Male,Head Coach,C,FRA,France,France,Volleyball,Men,1970-04-22
1830240,True,WENG Shih-Hang,Male,Coach,C,TPE,Chinese Taipei,Chinese Taipei,Artistic Gymnastics,,1982-10-20
1835894,True,TSAI Heng-Cheng,Male,Coach,C,TPE,Chinese Taipei,Chinese Taipei,Artistic Gymnastics,,1978-10-03
1878950,True,SANTARELLI Daniele,Male,Head Coach,C,TUR,Türkiye,Türkiye,Volleyball,Women,1981-06-08
1878952,True,FLISI Diego,Male,Assistant Coach,C,TUR,Türkiye,Türkiye,Volleyball,Women,1979-05-09
1878956,True,ZOTTA Andrea,Male,Assistant Coach,C,TUR,Türkiye,Türkiye,Volleyball,Women,1994-12-27
1879044,True,VATANSEVER Recep,Male,Assistant Coach,C,TUR,Türkiye,Türkiye,Volleyball,Women,1991-01-17
1879645,True,DARET Jerome,Male,Head Coach,C,FRA,France,France,Rugby Sevens,Men,1974-12-26
1879871,True,KRUMBHOLZ Olivier,Male,Head Coach,C,FRA,France,France,Handball,Women,1958-07-12
1879872,True,GARDILLOU Sebastien,Male,Assistant Coach,C,FRA,France,France,Handball,Women,1975-08-29
1879875,True,LEYNAUD Amandine,Female,Assistant Coach,C,FRA,France,France,Handball,Women,1986-05-02
1880219,True,GALKIN Evgeniy,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Artistic Gymnastics,,1952-07-08
1880226,True,ABDUSAMATOV Khusniddin,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Artistic Gymnastics,,1996-04-08
1880388,True,MWEMA Kevin,Male,Head Coach,C,KEN,Kenya,Kenya,Rugby Sevens,Men,1985-10-08
1880389,True,AMONDE Andrew,Male,Assistant Coach,C,KEN,Kenya,Kenya,Rugby Sevens,Men,1983-12-25
1880390,True,KISIA Louis,Male,Assistant Coach,C,KEN,Kenya,Kenya,Rugby Sevens,Men,1986-09-03
1880620,True,HRUBESCH Horst,Male,Head Coach,C,GER,Germany,Germany,Football,Women,1951-04-17
1880626,True,CARLSON Britta,Female,Assistant Coach,C,GER,Germany,Germany,Football,Women,1978-03-03
1880629,True,FUCHS Michael,Male,Goalkeeper Coach,C,GER,Germany,Germany,Football,Women,1970-01-04
1880639,True,NOERENBERG Thomas,Male,Assistant Coach,C,GER,Germany,Germany,Football,Women,1963-12-25
1880657,True,MUKHAMEDOVA Rano,Female,Coach,C,UZB,Uzbekistan,Uzbekistan,Rhythmic Gymnastics,,1989-04-24
1880659,True,VLASOVA Liliya,Female,Coach,C,UZB,Uzbekistan,Uzbekistan,Rhythmic Gymnastics,,1981-06-26
1887640,True,KHAN Pavel,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Taekwondo,,1984-12-08
1887642,True,RAFALOVICH Maksim,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Taekwondo,,1990-05-13
1887644,True,KHAN Vladimir,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Taekwondo,,1984-12-06
1887648,True,BAYKUZIYEV Jasur,Male,Coach,C,UZB,Uzbekistan,Uzbekistan,Taekwondo,,1986-09-04
1888131,True,PAKKAN Saim,Male,Assistant Coach,C,SRB,Serbia,Serbia,Volleyball,Women,1989-03-27
1888241,True,NISHIIRI Toshihiro,Male,Goalkeeper Coach,C,JPN,Japan,Japan,Football,,1977-09-03
1888242,True,IKEDA Futoshi,Male,Head Coach,C,JPN,Japan,Japan,Football,Women,1970-10-04
1888246,True,MIYAMOTO Tomomi,Female,Assistant Coach,C,JPN,Japan,Japan,Football,,1978-12-31
1888338,True,MENEZES Jude,Male,Head Coach,C,JPN,Japan,Japan,Hockey,,1971-05-08
1888344,True,OZAWA Kazuyuki,Male,Assistant Coach,C,JPN,Japan,Japan,Hockey,,1979-02-27
1888372,True,ERSIMSEK Ahmetcan,Male,Assistant Coach,C,SRB,Serbia,Serbia,Volleyball,Women,1992-05-13
1888498,True,ROTHMAN Neville,Male,Assistant Coach,C,IRL,Ireland,Ireland,Hockey,,1977-06-13
1891425,True,GELLE Noemi Katalin,Female,Coach,C,HUN,Hungary,Hungary,Rhythmic Gymnastics,,1975-09-29
1891653,True,NAGANUMA Atsushi,Male,Assistant Coach,C,JPN,Japan,Japan,Water Polo,Men,1982-09-22
1891659,True,HAZUI Shota,Male,Assistant Coach,C,JPN,Japan,Japan,Water Polo,Men,1986-09-30
1891667,True,SHIOTA Yoshinori,Male,Head Coach,C,JPN,Japan,Japan,Water Polo,Men,1982-08-12
1891684,True,KAWAI Mayo,Female,Coach,C,JPN,Japan,Japan,Artistic Swimming,,1991-11-01
1891686,True,KASHIMA Tomoyo,Female,Coach,C,JPN,Japan,Japan,Artistic Swimming,Team,1995-02-17
1891688,True,NAKAJIMA Takako,Female,Coach,C,JPN,Japan,Japan,Artistic Swimming,Team,1986-09-25
1892047,True,KAPADZE Timur,Male,Head Coach,C,UZB,Uzbekistan,Uzbekistan,Football,Men,1981-09-05
1892050,True,CHIGODAEV Sergey,Male,Assistant Coach,C,UZB,Uzbekistan,Uzbekistan,Football,,1987-06-28
1893216,True,GILLE Guillaume,Male,Head Coach,C,FRA,France,France,Handball,Men,
1893217,True,MATHE Erick,Male,Assistant Coach,C,FRA,France,France,Handball,Men,1971-07-23
1893323,True,ALONSO TAPIA Rosendo,Male,Coach,C,FRA,France,France,Taekwondo,,1979-10-03
1893324,True,ALONSO TAPIA Gulsah,Female,Coach,C,FRA,France,France,Taekwondo,,1980-09-15
1893325,True,JUNG Woomin,Male,Coach,C,FRA,France,France,Taekwondo,,1986-04-09
1894657,True,WILLE Jonas,Male,Head Coach,C,NOR,Norway,Norway,Handball,Men,1976-05-20
1894659,True,EGE Steinar,Male,Assistant Coach,C,NOR,Norway,Norway,Handball,Men,1972-04-10
1894661,True,BOQUIST Martin,Male,Assistant Coach,C,NOR,Norway,Norway,Handball,Men,1977-02-02
1894662,True,OLSSON Mats,Male,Assistant Coach,C,NOR,Norway,Norway,Handball,Women,1960-01-12
1894663,True,HERGEIRSSON Thorir,Male,Head Coach,C,NOR,Norway,Norway,Handball,Women,1964-04-27
1894666,True,LARSEN Tonje,Female,Assistant Coach,C,NOR,Norway,Norway,Handball,Women,1975-01-26
1894756,True,JOERGENSEN Michael,Male,Coach,C,NOR,Norway,Norway,Taekwondo,,1963-01-05
1895149,True,DRASOCZKY Imre,Male,Coach,C,HUN,Hungary,Hungary,Artistic Gymnastics,,1968-11-15
1895269,True,BRUUN Michael,Male,Assistant Coach,C,DEN,Denmark,Denmark,Handball,Men,1970-10-08
1895270,True,JOERGENSEN Lars,Male,Assistant Coach,C,DEN,Denmark,Denmark,Handball,Women,1978-02-03
1895275,True,KRONBORG Henrik,Male,Assistant Coach,C,DEN,Denmark,Denmark,Handball,Men,1970-06-16
1895276,True,JACOBSEN Nikolaj,Male,Head Coach,C,DEN,Denmark,Denmark,Handball,Men,1971-11-22
1895279,True,JENSEN Jesper,Male,Head Coach,C,DEN,Denmark,Denmark,Handball,Women,1977-10-30
1895408,True,SOYEZ Frederic,Male,Head Coach,C,FRA,France,France,Hockey,,1978-02-11
1895409,True,SALA Ramon,Male,Assistant Coach,C,FRA,France,France,Hockey,,1971-08-08
1895410,True,LOMBI Jorge,Male,Assistant Coach,C,FRA,France,France,Hockey,,1971-11-01
1895517,True,SZUCS Robert,Male,Coach,C,HUN,Hungary,Hungary,Artistic Gymnastics,,1972-11-10
1895520,True,TRENKA Janos,Male,Coach,C,HUN,Hungary,Hungary,Artistic Gymnastics,,1979-10-07
1896158,True,HARVEY Mike,Male,Coach,C,GBR,Great Britain,Great Britain,Taekwondo,,1989-09-21
1896160,True,MAIZEROI Torann,Male,Coach,C,GBR,Great Britain,Great Britain,Taekwondo,,1989-04-01
1896164,True,MILLER Nelson,Male,Coach,C,GBR,Great Britain,Great Britain,Taekwondo,,1965-11-18
1896167,True,STAMPER Martin,Male,Coach,C,GBR,Great Britain,Great Britain,Taekwondo,,1986-08-21
1896246,True,POLJAKOVA Shanna,Female,Coach,C,GER,Germany,Germany,Artistic Gymnastics,,1960-09-12
1896251,True,BELENKI Valeri,Male,Coach,C,GER,Germany,Germany,Artistic Gymnastics,,1969-09-05
1896252,True,CATANOIU Grigore,Male,Coach,C,GER,Germany,Germany,Artistic Gymnastics,,1969-12-28
1896253,True,BRYLOK Hubert,Male,Coach,C,GER,Germany,Germany,Artistic Gymnastics,,1960-02-10
1896258,True,TEMME Kay,Male,Coach,C,GER,Germany,Germany,Artistic Gymnastics,,1971-08-16
1896262,True,PFEFFER Camilla,Female,Coach,C,GER,Germany,Germany,Rhythmic Gymnastics,,1993-01-24
1896275,True,RASKINA Yuliya,Female,Coach,C,GER,Germany,Germany,Rhythmic Gymnastics,,1982-04-09
1896279,True,CAMICIOTTI Giacomo,Male,Coach,C,GER,Germany,Germany,Artistic Gymnastics,,1985-05-20
1896290,True,DUNAVSKA MINEKOVA Kameliya,Female,Coach,C,GER,Germany,Germany,Rhythmic Gymnastics,,1969-04-21
1896562,True,PARECKI Antoni Jerzy,Male,Assistant Coach,C,JPN,Japan,Japan,Handball,Men,1960-06-13
1896698,True,SNYMAN Philip,Male,Head Coach,C,RSA,South Africa,South Africa,Rugby Sevens,Men,1987-03-26
1896700,True,LUCKAN Ghafoer,Male,Assistant Coach,C,RSA,South Africa,South Africa,Rugby Sevens,Men,1985-12-18
1897091,True,GONZALEZ NUNEZ Arlen,Male,Coach,C,CUB,Cuba,Cuba,Taekwondo,,1974-05-26
1897234,True,SHARABI Yechiam,Male,Coach,C,ISR,Israel,Israel,Taekwondo,,1978-08-27
1897292,True,BLECHER SIDOROVA Svetlana,Female,Coach,C,ISR,Israel,Israel,Artistic Swimming,Duet,1965-06-17
1897395,True,ABDELRAHMAN Osama,Male,Coach,C,EGY,Egypt,Egypt,Taekwondo,,1973-11-27
1897398,True,YOUSSEF Mohamed,Male,Coach,C,EGY,Egypt,Egypt,Taekwondo,,1977-03-05
1897518,True,ZAITSEVA Olesia,Female,Coach,C,UKR,Ukraine,Ukraine,Artistic Swimming,Duet,1974-11-08
1897547,True,SARTYNSKYI Gennadii,Male,Coach,C,UKR,Ukraine,Ukraine,Artistic Gymnastics,,1953-10-30
1897548,True,GORBACHEVA Iryna,Female,Coach,C,UKR,Ukraine,Ukraine,Artistic Gymnastics,,1984-07-04
1897550,True,KAIUKOVA Iuliia,Female,Coach,C,UKR,Ukraine,Ukraine,Artistic Gymnastics,,1989-08-22
1897590,True,DERYUGINA Iryna,Female,Coach,C,UKR,Ukraine,Ukraine,Rhythmic Gymnastics,,1958-01-11
1897591,True,BLOKHINA Iryna,Female,Coach,C,UKR,Ukraine,Ukraine,Rhythmic Gymnastics,,1983-01-15
1897592,True,KARDASH Maryna,Female,Coach,C,UKR,Ukraine,Ukraine,Rhythmic Gymnastics,,1974-05-20
1897594,True,VASYLIEVA Marharyta,Female,Coach,C,UKR,Ukraine,Ukraine,Rhythmic Gymnastics,,1999-05-02
1897752,True,KHOLOD Maryna,Female,Coach,C,NZL,New Zealand,New Zealand,Artistic Swimming,Duet,1980-08-23
1897775,True,RA Sanghyun,Male,Coach,C,FIJ,Fiji,Fiji,Taekwondo,,1972-07-26
1897904,True,KIM Hyou Mi,Female,Coach,C,KOR,Korea,Republic of Korea,Artistic Swimming,Duet,1983-11-30
1898398,True,ROSILLO ATENCIA Jose Antonio,Male,Coach,C,NOR,Norway,Norway,Taekwondo,,1990-05-20
1898540,True,LAI Yawen,Female,Assistant Coach,C,CHN,China,People's Republic of China,Volleyball,Women,
