medal_date,medal_type,medal_code,name,gender,country_code,country,country_long,nationality_code,nationality,nationality_long,team,team_gender,discipline,event,event_type,url_event,birth_date,code_athlete,code_team,is_medallist
2024-07-27,Bronze Medal,3.0,NAGAYAMA Ryuju,Male,JPN,Japan,Japan,JPN,Japan,Japan,,,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/repf000100--,1996-04-15,1896752,,True
2024-07-27,Bronze Medal,3.0,GARRIGOS Francisco,Male,ESP,Spain,Spain,ESP,Spain,Spain,,,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/repf000200--,1994-12-09,1563544,,True
2024-07-27,Gold Medal,1.0,TSUNODA Natsumi,Female,JPN,Japan,Japan,JPN,Japan,Japan,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/fnl-000100--,1992-08-06,1896735,,True
2024-07-27,Silver Medal,2.0,BAVUUDORJ Baasankhuu,Female,MGL,Mongolia,Mongolia,MGL,Mongolia,Mongolia,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/fnl-000100--,1999-11-26,1914467,,True
2024-07-27,Bronze Medal,3.0,BOUKLI Shirine,Female,FRA,France,France,FRA,France,France,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000100--,1999-01-24,1891280,,True
2024-07-27,Bronze Medal,3.0,BABULFATH Tara,Female,SWE,Sweden,Sweden,SWE,Sweden,Sweden,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000200--,2006-01-03,1571911,,True
2024-07-27,Gold Medal,1.0,MAERTENS Lukas,Male,GER,Germany,Germany,GER,Germany,Germany,,,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,2001-12-27,1907192,,True
2024-07-27,Silver Medal,2.0,WINNINGTON Elijah,Male,AUS,Australia,Australia,AUS,Australia,Australia,,,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,2000-05-05,1946172,,True
2024-07-27,Bronze Medal,3.0,KIM Woomin,Male,KOR,Korea,Republic of Korea,KOR,Korea,Republic of Korea,,,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,2001-08-24,4654306,,True
2024-07-27,Gold Medal,1.0,TITMUS Ariarne,Female,AUS,Australia,Australia,AUS,Australia,Australia,,,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,2000-09-07,1946150,,True
2024-07-27,Silver Medal,2.0,McINTOSH Summer,Female,CAN,Canada,Canada,CAN,Canada,Canada,,,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,2006-08-18,1967140,,True
2024-07-27,Bronze Medal,3.0,LEDECKY Katie,Female,USA,United States,United States of America,USA,United States,United States of America,,,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,1997-03-17,1935938,,True
2024-07-28,Gold Medal,1.0,FOX Jessica,Female,AUS,Australia,Australia,AUS,Australia,Australia,,,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1994-06-11,1940205,,True
2024-07-28,Silver Medal,2.0,ZWOLINSKA Klaudia,Female,POL,Poland,Poland,POL,Poland,Poland,,,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1998-12-18,1942126,,True
2024-07-28,Bronze Medal,3.0,WOODS Kimberley,Female,GBR,Great Britain,Great Britain,GBR,Great Britain,Great Britain,,,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1995-09-08,1896045,,True
2024-07-28,Gold Medal,1.0,FERRAND PREVOT Pauline,Female,FRA,France,France,FRA,France,France,,,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1992-02-10,1895672,,True
2024-07-28,Silver Medal,2.0,BATTEN Haley,Female,USA,United States,United States of America,USA,United States,United States of America,,,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1998-09-19,1955070,,True
2024-07-28,Bronze Medal,3.0,RISSVEDS Jenny,Female,SWE,Sweden,Sweden,SWE,Sweden,Sweden,,,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1994-06-06,1564023,,True
2024-07-28,Gold Medal,1.0,KANO Koki,Male,JPN,Japan,Japan,JPN,Japan,Japan,,,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--,1997-12-19,1896548,,True
2024-07-28,Silver Medal,2.0,BOREL Yannick,Male,FRA,France,France,FRA,France,France,,,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--,1988-11-05,1916194,,True
2024-07-28,Bronze Medal,3.0,ELSAYED Mohamed,Male,EGY,Egypt,Egypt,EGY,Egypt,Egypt,,,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000200--,2003-03-03,1936462,,True
2024-07-28,Gold Medal,1.0,KIEFER Lee,Female,USA,United States,United States of America,USA,United States,United States of America,,,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--,1994-06-15,1950611,,True
2024-07-28,Silver Medal,2.0,SCRUGGS Lauren,Female,USA,United States,United States of America,USA,United States,United States of America,,,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--,2003-01-27,1950643,,True
2024-07-28,Bronze Medal,3.0,HARVEY Eleanor,Female,CAN,Canada,Canada,CAN,Canada,Canada,,,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000200--,1995-01-14,1973213,,True
2024-07-28,Gold Medal,1.0,ABE Hifumi,Male,JPN,Japan,Japan,JPN,Japan,Japan,,,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/fnl-000100--,1997-08-09,1896763,,True
2024-07-28,Silver Medal,2.0,LIMA Willian,Male,BRA,Brazil,Brazil,BRA,Brazil,Brazil,,,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/fnl-000100--,2000-01-31,1953840,,True
2024-07-28,Bronze Medal,3.0,KYRGYZBAYEV Gusman,Male,KAZ,Kazakhstan,Kazakhstan,KAZ,Kazakhstan,Kazakhstan,,,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/repf000100--,1992-09-28,1935410,,True
2024-07-28,Bronze Medal,3.0,VIERU Denis,Male,MDA,Republic of Moldova,Republic of Moldova,MDA,Republic of Moldova,Republic of Moldova,,,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/repf000200--,1996-03-10,1561138,,True
2024-07-28,Gold Medal,1.0,KELDIYOROVA Diyora,Female,UZB,Uzbekistan,Uzbekistan,UZB,Uzbekistan,Uzbekistan,,,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/fnl-000100--,1998-07-13,1566997,,True
2024-07-28,Silver Medal,2.0,KRASNIQI Distria,Female,KOS,Kosovo,Kosovo,KOS,Kosovo,Kosovo,,,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/fnl-000100--,1995-12-10,1550162,,True
2024-07-28,Bronze Medal,3.0,PIMENTA Larissa,Female,BRA,Brazil,Brazil,BRA,Brazil,Brazil,,,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000100--,1999-03-01,1953817,,True
2024-07-28,Bronze Medal,3.0,BUCHARD Amandine,Female,FRA,France,France,FRA,France,France,,,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000200--,1995-07-12,1891283,,True
2024-07-28,Gold Medal,1.0,XIE Yu,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,2000-06-12,1913907,,True
2024-07-28,Silver Medal,2.0,MALDINI Federico Nilo,Male,ITA,Italy,Italy,ITA,Italy,Italy,,,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,2001-03-28,1551388,,True
2024-07-28,Bronze Medal,3.0,MONNA Paolo,Male,ITA,Italy,Italy,ITA,Italy,Italy,,,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1998-04-19,1551387,,True
2024-07-28,Gold Medal,1.0,OH Ye Jin,Female,KOR,Korea,Republic of Korea,KOR,Korea,Republic of Korea,,,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,2005-05-10,1893972,,True
2024-07-28,Silver Medal,2.0,KIM Yeji,Female,KOR,Korea,Republic of Korea,KOR,Korea,Republic of Korea,,,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1992-09-04,1893930,,True
2024-07-28,Bronze Medal,3.0,BHAKER Manu,Female,IND,India,India,IND,India,India,,,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,2002-02-18,1538159,,True
2024-07-28,Gold Medal,1.0,YOSHIZAWA Coco,Female,JPN,Japan,Japan,JPN,Japan,Japan,,,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,2009-09-22,1902055,,True
2024-07-28,Silver Medal,2.0,AKAMA Liz,Female,JPN,Japan,Japan,JPN,Japan,Japan,,,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,2009-01-08,1902069,,True
2024-07-28,Bronze Medal,3.0,LEAL Rayssa,Female,BRA,Brazil,Brazil,BRA,Brazil,Brazil,,,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,2008-01-04,1955689,,True
2024-07-28,Gold Medal,1.0,MARTINENGHI Nicolo,Male,ITA,Italy,Italy,ITA,Italy,Italy,,,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1999-08-01,1925633,,True
2024-07-28,Silver Medal,2.0,PEATY Adam,Male,GBR,Great Britain,Great Britain,GBR,Great Britain,Great Britain,,,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1994-12-28,1956469,,True
2024-07-28,Silver Medal,2.0,FINK Nic,Male,USA,United States,United States of America,USA,United States,United States of America,,,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1993-07-03,1935901,,True
2024-07-28,Gold Medal,1.0,MARCHAND Leon,Male,FRA,France,France,FRA,France,France,,,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,2002-05-17,1909294,,True
2024-07-28,Silver Medal,2.0,MATSUSHITA Tomoyuki,Male,JPN,Japan,Japan,JPN,Japan,Japan,,,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,2005-08-01,1963635,,True
2024-07-28,Bronze Medal,3.0,FOSTER Carson,Male,USA,United States,United States of America,USA,United States,United States of America,,,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,2001-10-26,1935903,,True
2024-07-28,Gold Medal,1.0,HUSKE Torri,Female,USA,United States,United States of America,USA,United States,United States of America,,,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,2002-12-07,1935923,,True
2024-07-28,Silver Medal,2.0,WALSH Gretchen,Female,USA,United States,United States of America,USA,United States,United States of America,,,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,2003-01-29,1935998,,True
2024-07-28,Bronze Medal,3.0,ZHANG Yufei,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1998-04-19,1945125,,True
2024-07-29,Gold Medal,1.0,GESTIN Nicolas,Male,FRA,France,France,FRA,France,France,,,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,2000-03-14,1880479,,True
2024-07-29,Silver Medal,2.0,BURGESS Adam,Male,GBR,Great Britain,Great Britain,GBR,Great Britain,Great Britain,,,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1992-07-17,1896030,,True
2024-07-29,Bronze Medal,3.0,BENUS Matej,Male,SVK,Slovakia,Slovakia,SVK,Slovakia,Slovakia,,,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1987-11-02,1961080,,True
2024-07-29,Gold Medal,1.0,PIDCOCK Thomas,Male,GBR,Great Britain,Great Britain,GBR,Great Britain,Great Britain,,,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1999-07-30,1912546,,True
2024-07-29,Silver Medal,2.0,KORETZKY Victor,Male,FRA,France,France,FRA,France,France,,,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1994-08-26,1895687,,True
2024-07-29,Bronze Medal,3.0,HATHERLY Alan,Male,RSA,South Africa,South Africa,RSA,South Africa,South Africa,,,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1996-03-15,1943604,,True
2024-07-29,Gold Medal,1.0,JUNG Michael,Male,GER,Germany,Germany,GER,Germany,Germany,,,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1982-07-31,1914921,,True
2024-07-29,Silver Medal,2.0,BURTON Christopher,Male,AUS,Australia,Australia,AUS,Australia,Australia,,,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1981-11-22,1940438,,True
2024-07-29,Bronze Medal,3.0,COLLETT Laura,Female,GBR,Great Britain,Great Britain,GBR,Great Britain,Great Britain,,,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1989-08-31,1970898,,True
2024-07-29,Gold Medal,1.0,CHEUNG Ka Long,Male,HKG,"Hong Kong, China","Hong Kong, China",HKG,"Hong Kong, China","Hong Kong, China",,,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--,1997-06-10,1963245,,True
2024-07-29,Silver Medal,2.0,MACCHI Filippo,Male,ITA,Italy,Italy,ITA,Italy,Italy,,,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--,2001-09-19,1924289,,True
2024-07-29,Bronze Medal,3.0,ITKIN Nick,Male,USA,United States,United States of America,USA,United States,United States of America,,,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000200--,1999-10-09,1950602,,True
2024-07-29,Gold Medal,1.0,APITHY-BRUNET Manon,Female,FRA,France,France,FRA,France,France,,,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--,1996-02-07,1916223,,True
2024-07-29,Silver Medal,2.0,BALZER Sara,Female,FRA,France,France,FRA,France,France,,,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--,1995-04-03,1916222,,True
2024-07-29,Bronze Medal,3.0,KHARLAN Olga,Female,UKR,Ukraine,Ukraine,UKR,Ukraine,Ukraine,,,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000200--,1990-09-04,1897644,,True
2024-07-29,Gold Medal,1.0,HEYDAROV Hidayat,Male,AZE,Azerbaijan,Azerbaijan,AZE,Azerbaijan,Azerbaijan,,,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/fnl-000100--,1997-07-27,1972337,,True
2024-07-29,Silver Medal,2.0,GABA Joan-Benjamin,Male,FRA,France,France,FRA,France,France,,,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/fnl-000100--,2001-01-07,1891311,,True
2024-07-29,Bronze Medal,3.0,OSMANOV Adil,Male,MDA,Republic of Moldova,Republic of Moldova,MDA,Republic of Moldova,Republic of Moldova,,,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/repf000100--,2000-07-02,1563437,,True
2024-07-29,Bronze Medal,3.0,HASHIMOTO Soichi,Male,JPN,Japan,Japan,JPN,Japan,Japan,,,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/repf000200--,1991-08-24,1896740,,True
2024-07-29,Gold Medal,1.0,DEGUCHI Christa,Female,CAN,Canada,Canada,CAN,Canada,Canada,,,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/fnl-000100--,1995-10-29,1955526,,True
2024-07-29,Silver Medal,2.0,HUH Mimi,Female,KOR,Korea,Republic of Korea,KOR,Korea,Republic of Korea,,,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/fnl-000100--,2002-12-19,1928067,,True
2024-07-29,Bronze Medal,3.0,FUNAKUBO Haruka,Female,JPN,Japan,Japan,JPN,Japan,Japan,,,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/repf000100--,1998-10-10,1896733,,True
2024-07-29,Bronze Medal,3.0,CYSIQUE Sarah Leonie,Female,FRA,France,France,FRA,France,France,,,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/repf000200--,1998-07-06,1891286,,True
2024-07-29,Gold Medal,1.0,SHENG Lihao,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,2004-12-04,1913899,,True
2024-07-29,Silver Medal,2.0,LINDGREN Victor,Male,SWE,Sweden,Sweden,SWE,Sweden,Sweden,,,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,2003-05-16,1572919,,True
2024-07-29,Bronze Medal,3.0,MARICIC Miran,Male,CRO,Croatia,Croatia,CRO,Croatia,Croatia,,,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1997-06-17,1888047,,True
2024-07-29,Gold Medal,1.0,BAN Hyojin,Female,KOR,Korea,Republic of Korea,KOR,Korea,Republic of Korea,,,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,2007-09-20,1893845,,True
2024-07-29,Silver Medal,2.0,HUANG Yuting,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,2006-09-03,1913945,,True
2024-07-29,Bronze Medal,3.0,GOGNIAT Audrey,Female,SUI,Switzerland,Switzerland,SUI,Switzerland,Switzerland,,,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,2002-10-30,1976545,,True
2024-07-29,Gold Medal,1.0,HORIGOME Yuto,Male,JPN,Japan,Japan,JPN,Japan,Japan,,,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1999-01-07,1902081,,True
2024-07-29,Silver Medal,2.0,EATON Jagger,Male,USA,United States,United States of America,USA,United States,United States of America,,,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,2001-02-21,1944226,,True
2024-07-29,Bronze Medal,3.0,HUSTON Nyjah,Male,USA,United States,United States of America,USA,United States,United States of America,,,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1994-11-30,1944232,,True
2024-07-29,Gold Medal,1.0,CECCON Thomas,Male,ITA,Italy,Italy,ITA,Italy,Italy,,,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,2001-01-27,1925635,,True
2024-07-29,Silver Medal,2.0,XU Jiayu,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1995-08-19,1945132,,True
2024-07-29,Bronze Medal,3.0,MURPHY Ryan,Male,USA,United States,United States of America,USA,United States,United States of America,,,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1995-07-02,1935957,,True
2024-07-29,Gold Medal,1.0,POPOVICI David,Male,ROU,Romania,Romania,ROU,Romania,Romania,,,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,2004-09-15,1543549,,True
2024-07-29,Silver Medal,2.0,RICHARDS Matthew,Male,GBR,Great Britain,Great Britain,GBR,Great Britain,Great Britain,,,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,2002-12-17,1903617,,True
2024-07-29,Bronze Medal,3.0,HOBSON Luke,Male,USA,United States,United States of America,USA,United States,United States of America,,,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,2003-06-25,1935918,,True
2024-07-29,Gold Medal,1.0,SMITH Tatjana,Female,RSA,South Africa,South Africa,RSA,South Africa,South Africa,,,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1997-07-09,1962589,,True
2024-07-29,Silver Medal,2.0,TANG Qianting,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,2004-03-14,1945200,,True
2024-07-29,Bronze Medal,3.0,Mc SHARRY Mona,Female,IRL,Ireland,Ireland,IRL,Ireland,Ireland,,,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,2000-08-21,1543304,,True
2024-07-29,Gold Medal,1.0,O'CALLAGHAN Mollie,Female,AUS,Australia,Australia,AUS,Australia,Australia,,,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,2004-04-02,1946218,,True
2024-07-29,Silver Medal,2.0,TITMUS Ariarne,Female,AUS,Australia,Australia,AUS,Australia,Australia,,,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,2000-09-07,1946150,,True
2024-07-29,Bronze Medal,3.0,HAUGHEY Siobhan Bernadette,Female,HKG,"Hong Kong, China","Hong Kong, China",HKG,"Hong Kong, China","Hong Kong, China",,,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,1997-10-31,1925125,,True
