date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_WLT,qualification_mark,bib
2024-07-27T10:35:40+02:00,SRFMSHORTBRD----------PREL000600--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 6,Round 1 - Heat 6,M,Surfing,SRF,"Teahupo'o, Tahiti",1535368,CLELAND QUINONEZ Alan,Person,MEX,Mexico,2.0,14.34,POINTS,,Q2,19
2024-07-27T10:35:40+02:00,SRFMSHORTBRD----------PREL000600--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 6,Round 1 - Heat 6,M,Surfing,SRF,"Teahupo'o, Tahiti",1957829,CRIERE Andy,Person,ESP,Spain,3.0,12.00,POINTS,,Q2,6
2024-07-27T11:12:04+02:00,SRFMSHORTBRD----------PREL000700--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 7,Round 1 - Heat 7,M,Surfing,SRF,"Teahupo'o, Tahiti",1943201,COLAPINTO Griffin,Person,USA,United States,1.0,17.03,POINTS,,Q3,22
2024-07-27T11:12:04+02:00,SRFMSHORTBRD----------PREL000700--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 7,Round 1 - Heat 7,M,Surfing,SRF,"Teahupo'o, Tahiti",1567361,VAAST Kauli,Person,FRA,France,2.0,13.63,POINTS,,Q2,3
2024-07-27T11:12:04+02:00,SRFMSHORTBRD----------PREL000700--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 7,Round 1 - Heat 7,M,Surfing,SRF,"Teahupo'o, Tahiti",1560071,MESINAS Lucca,Person,PER,Peru,3.0,11.10,POINTS,,Q2,14
2024-07-27T11:46:36+02:00,SRFMSHORTBRD----------PREL000800--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 8,Round 1 - Heat 8,M,Surfing,SRF,"Teahupo'o, Tahiti",1913493,INABA Reo,Person,JPN,Japan,1.0,12.76,POINTS,,Q3,18
2024-07-27T11:46:36+02:00,SRFMSHORTBRD----------PREL000800--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 8,Round 1 - Heat 8,M,Surfing,SRF,"Teahupo'o, Tahiti",1933492,FIORAVANTI Leonardo,Person,ITA,Italy,2.0,8.87,POINTS,,Q2,10
2024-07-27T11:46:36+02:00,SRFMSHORTBRD----------PREL000800--,SRFMSHORTBRD,Men,Men's Round 1 - Heat 8,Round 1 - Heat 8,M,Surfing,SRF,"Teahupo'o, Tahiti",1909733,WAIDA Rio,Person,INA,Indonesia,3.0,5.74,POINTS,,Q2,7
2024-07-28T12:22:06+02:00,SRFMSHORTBRD----------REP-000100--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 1,Round 2 - Heat 1,M,Surfing,SRF,"Teahupo'o, Tahiti",1913498,IGARASHI Kanoa,Person,JPN,Japan,1.0,13.87,POINTS,W,,20
2024-07-28T12:22:06+02:00,SRFMSHORTBRD----------REP-000100--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 1,Round 2 - Heat 1,M,Surfing,SRF,"Teahupo'o, Tahiti",1933492,FIORAVANTI Leonardo,Person,ITA,Italy,2.0,7.00,POINTS,L,,10
2024-07-28T13:07:18+02:00,SRFMSHORTBRD----------REP-000200--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 2,Round 2 - Heat 2,M,Surfing,SRF,"Teahupo'o, Tahiti",1913489,O'LEARY Connor,Person,JPN,Japan,1.0,14.50,POINTS,W,,16
2024-07-28T13:07:18+02:00,SRFMSHORTBRD----------REP-000200--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 2,Round 2 - Heat 2,M,Surfing,SRF,"Teahupo'o, Tahiti",1556615,ELTER Tim,Person,GER,Germany,2.0,6.07,POINTS,L,,9
2024-07-28T13:44:10+02:00,SRFMSHORTBRD----------REP-000300--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 3,Round 2 - Heat 3,M,Surfing,SRF,"Teahupo'o, Tahiti",1963660,SMITH Jordy,Person,RSA,South Africa,1.0,9.50,POINTS,W,,17
2024-07-28T13:44:10+02:00,SRFMSHORTBRD----------REP-000300--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 3,Round 2 - Heat 3,M,Surfing,SRF,"Teahupo'o, Tahiti",1909733,WAIDA Rio,Person,INA,Indonesia,2.0,5.40,POINTS,L,,7
2024-07-28T14:21:35+02:00,SRFMSHORTBRD----------REP-000400--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 4,Round 2 - Heat 4,M,Surfing,SRF,"Teahupo'o, Tahiti",1567361,VAAST Kauli,Person,FRA,France,1.0,14.03,POINTS,W,,3
2024-07-28T14:21:35+02:00,SRFMSHORTBRD----------REP-000400--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 4,Round 2 - Heat 4,M,Surfing,SRF,"Teahupo'o, Tahiti",1963661,McGILLIVRAY Matthew,Person,RSA,South Africa,2.0,10.67,POINTS,L,,21
2024-07-28T14:59:03+02:00,SRFMSHORTBRD----------REP-000500--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 5,Round 2 - Heat 5,M,Surfing,SRF,"Teahupo'o, Tahiti",1551552,BOUKHIAM Ramzi,Person,MAR,Morocco,1.0,14.60,POINTS,W,,2
2024-07-28T14:59:03+02:00,SRFMSHORTBRD----------REP-000500--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 5,Round 2 - Heat 5,M,Surfing,SRF,"Teahupo'o, Tahiti",1571398,PEREZ Bryan,Person,ESA,El Salvador,2.0,12.60,POINTS,L,,24
2024-07-28T15:33:06+02:00,SRFMSHORTBRD----------REP-000600--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 6,Round 2 - Heat 6,M,Surfing,SRF,"Teahupo'o, Tahiti",1535368,CLELAND QUINONEZ Alan,Person,MEX,Mexico,1.0,15.17,POINTS,W,,19
2024-07-28T15:33:06+02:00,SRFMSHORTBRD----------REP-000600--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 6,Round 2 - Heat 6,M,Surfing,SRF,"Teahupo'o, Tahiti",1957829,CRIERE Andy,Person,ESP,Spain,2.0,4.43,POINTS,L,,6
2024-07-28T16:17:37+02:00,SRFMSHORTBRD----------REP-000700--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 7,Round 2 - Heat 7,M,Surfing,SRF,"Teahupo'o, Tahiti",1946129,ROBINSON Jack,Person,AUS,Australia,1.0,16.87,POINTS,W,,13
2024-07-28T16:17:37+02:00,SRFMSHORTBRD----------REP-000700--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 7,Round 2 - Heat 7,M,Surfing,SRF,"Teahupo'o, Tahiti",1560071,MESINAS Lucca,Person,PER,Peru,2.0,10.83,POINTS,L,,14
2024-07-28T16:53:15+02:00,SRFMSHORTBRD----------REP-000800--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 8,Round 2 - Heat 8,M,Surfing,SRF,"Teahupo'o, Tahiti",1955777,TOLEDO Filipe,Person,BRA,Brazil,1.0,17.00,POINTS,W,,12
2024-07-28T16:53:15+02:00,SRFMSHORTBRD----------REP-000800--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 8,Round 2 - Heat 8,M,Surfing,SRF,"Teahupo'o, Tahiti",1919015,STAIRMAND Billy,Person,NZL,New Zealand,2.0,14.00,POINTS,L,,15
2024-07-29T07:33:29+02:00,SRFMSHORTBRD----------8FNL000100--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 1,Round 3 - Heat 1,M,Surfing,SRF,"Teahupo'o, Tahiti",1559994,CORREA Alonso,Person,PER,Peru,1.0,15.00,POINTS,W,,5
2024-07-29T07:33:29+02:00,SRFMSHORTBRD----------8FNL000100--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 1,Round 3 - Heat 1,M,Surfing,SRF,"Teahupo'o, Tahiti",1963660,SMITH Jordy,Person,RSA,South Africa,2.0,12.20,POINTS,L,,17
2024-07-29T08:09:21+02:00,SRFMSHORTBRD----------8FNL000200--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 2,Round 3 - Heat 2,M,Surfing,SRF,"Teahupo'o, Tahiti",1913493,INABA Reo,Person,JPN,Japan,1.0,6.00,POINTS,W,,18
2024-07-29T08:09:21+02:00,SRFMSHORTBRD----------8FNL000200--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 2,Round 3 - Heat 2,M,Surfing,SRF,"Teahupo'o, Tahiti",1955777,TOLEDO Filipe,Person,BRA,Brazil,2.0,2.46,POINTS,L,,12
2024-07-29T08:45:17+02:00,SRFMSHORTBRD----------8FNL000300--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 3,Round 3 - Heat 3,M,Surfing,SRF,"Teahupo'o, Tahiti",1567361,VAAST Kauli,Person,FRA,France,1.0,15.10,POINTS,W,,3
2024-07-29T08:45:17+02:00,SRFMSHORTBRD----------8FNL000300--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 3,Round 3 - Heat 3,M,Surfing,SRF,"Teahupo'o, Tahiti",1943201,COLAPINTO Griffin,Person,USA,United States,2.0,13.83,POINTS,L,,22
2024-07-29T09:21:33+02:00,SRFMSHORTBRD----------8FNL000400--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 4,Round 3 - Heat 4,M,Surfing,SRF,"Teahupo'o, Tahiti",1567362,DURU Joan,Person,FRA,France,1.0,18.13,POINTS,W,,4
2024-07-29T09:21:33+02:00,SRFMSHORTBRD----------8FNL000400--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 4,Round 3 - Heat 4,M,Surfing,SRF,"Teahupo'o, Tahiti",1535368,CLELAND QUINONEZ Alan,Person,MEX,Mexico,2.0,15.17,POINTS,L,,19
2024-07-29T09:57:19+02:00,SRFMSHORTBRD----------8FNL000500--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 5,Round 3 - Heat 5,M,Surfing,SRF,"Teahupo'o, Tahiti",1955778,MEDINA Gabriel,Person,BRA,Brazil,1.0,17.40,POINTS,W,,1
2024-07-29T09:57:19+02:00,SRFMSHORTBRD----------8FNL000500--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 5,Round 3 - Heat 5,M,Surfing,SRF,"Teahupo'o, Tahiti",1913498,IGARASHI Kanoa,Person,JPN,Japan,2.0,7.04,POINTS,L,,20
2024-07-29T10:36:05+02:00,SRFMSHORTBRD----------8FNL000600--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 6,Round 3 - Heat 6,M,Surfing,SRF,"Teahupo'o, Tahiti",1955780,CHIANCA Joao,Person,BRA,Brazil,1.0,18.10,POINTS,W,,23
2024-07-29T10:36:05+02:00,SRFMSHORTBRD----------8FNL000600--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 6,Round 3 - Heat 6,M,Surfing,SRF,"Teahupo'o, Tahiti",1551552,BOUKHIAM Ramzi,Person,MAR,Morocco,2.0,17.80,POINTS,L,,2
2024-07-29T11:10:13+02:00,SRFMSHORTBRD----------8FNL000700--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 7,Round 3 - Heat 7,M,Surfing,SRF,"Teahupo'o, Tahiti",1946129,ROBINSON Jack,Person,AUS,Australia,1.0,13.94,POINTS,W,,13
2024-07-29T11:10:13+02:00,SRFMSHORTBRD----------8FNL000700--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 7,Round 3 - Heat 7,M,Surfing,SRF,"Teahupo'o, Tahiti",1943202,FLORENCE John John,Person,USA,United States,2.0,9.07,POINTS,L,,11
2024-07-29T11:46:25+02:00,SRFMSHORTBRD----------8FNL000800--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 8,Round 3 - Heat 8,M,Surfing,SRF,"Teahupo'o, Tahiti",1946128,EWING Ethan,Person,AUS,Australia,1.0,14.17,POINTS,W,,8
2024-07-29T11:46:25+02:00,SRFMSHORTBRD----------8FNL000800--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 8,Round 3 - Heat 8,M,Surfing,SRF,"Teahupo'o, Tahiti",1913489,O'LEARY Connor,Person,JPN,Japan,2.0,11.00,POINTS,L,,16
2024-08-01T12:21:43+02:00,SRFMSHORTBRD----------QFNL000100--,SRFMSHORTBRD,Men,Men's Quarterfinals - Heat 1,Quarterfinals - Heat 1,M,Surfing,SRF,"Teahupo'o, Tahiti",1559994,CORREA Alonso,Person,PER,Peru,1.0,10.50,POINTS,W,,5
2024-08-01T12:21:43+02:00,SRFMSHORTBRD----------QFNL000100--,SRFMSHORTBRD,Men,Men's Quarterfinals - Heat 1,Quarterfinals - Heat 1,M,Surfing,SRF,"Teahupo'o, Tahiti",1913493,INABA Reo,Person,JPN,Japan,2.0,10.16,POINTS,L,,18
2024-08-01T12:57:01+02:00,SRFMSHORTBRD----------QFNL000200--,SRFMSHORTBRD,Men,Men's Quarterfinals - Heat 2,Quarterfinals - Heat 2,M,Surfing,SRF,"Teahupo'o, Tahiti",1567361,VAAST Kauli,Person,FRA,France,1.0,15.33,POINTS,W,,3
2024-08-01T12:57:01+02:00,SRFMSHORTBRD----------QFNL000200--,SRFMSHORTBRD,Men,Men's Quarterfinals - Heat 2,Quarterfinals - Heat 2,M,Surfing,SRF,"Teahupo'o, Tahiti",1567362,DURU Joan,Person,FRA,France,2.0,12.33,POINTS,L,,4
2024-08-01T13:32:53+02:00,SRFMSHORTBRD----------QFNL000300--,SRFMSHORTBRD,Men,Men's Quarterfinals - Heat 3,Quarterfinals - Heat 3,M,Surfing,SRF,"Teahupo'o, Tahiti",1955778,MEDINA Gabriel,Person,BRA,Brazil,1.0,14.77,POINTS,W,,1
2024-08-01T13:32:53+02:00,SRFMSHORTBRD----------QFNL000300--,SRFMSHORTBRD,Men,Men's Quarterfinals - Heat 3,Quarterfinals - Heat 3,M,Surfing,SRF,"Teahupo'o, Tahiti",1955780,CHIANCA Joao,Person,BRA,Brazil,2.0,9.33,POINTS,L,,23
2024-08-01T14:08:58+02:00,SRFMSHORTBRD----------QFNL000400--,SRFMSHORTBRD,Men,Men's Quarterfinals - Heat 4,Quarterfinals - Heat 4,M,Surfing,SRF,"Teahupo'o, Tahiti",1946129,ROBINSON Jack,Person,AUS,Australia,1.0,15.33,POINTS,W,,13
2024-08-01T14:08:58+02:00,SRFMSHORTBRD----------QFNL000400--,SRFMSHORTBRD,Men,Men's Quarterfinals - Heat 4,Quarterfinals - Heat 4,M,Surfing,SRF,"Teahupo'o, Tahiti",1946128,EWING Ethan,Person,AUS,Australia,2.0,13.00,POINTS,L,,8
2024-08-05T11:03:37+02:00,SRFMSHORTBRD----------SFNL000100--,SRFMSHORTBRD,Men,Men's Semifinals - Heat 1,Semifinals - Heat 1,M,Surfing,SRF,"Teahupo'o, Tahiti",1567361,VAAST Kauli,Person,FRA,France,1.0,10.96,POINTS,W,,3
2024-08-05T11:03:37+02:00,SRFMSHORTBRD----------SFNL000100--,SRFMSHORTBRD,Men,Men's Semifinals - Heat 1,Semifinals - Heat 1,M,Surfing,SRF,"Teahupo'o, Tahiti",1559994,CORREA Alonso,Person,PER,Peru,2.0,9.60,POINTS,L,,5
2024-08-05T11:40:00+02:00,SRFMSHORTBRD----------SFNL000200--,SRFMSHORTBRD,Men,Men's Semifinals - Heat 2,Semifinals - Heat 2,M,Surfing,SRF,"Teahupo'o, Tahiti",1946129,ROBINSON Jack,Person,AUS,Australia,1.0,12.33,POINTS,W,,13
2024-08-05T11:40:00+02:00,SRFMSHORTBRD----------SFNL000200--,SRFMSHORTBRD,Men,Men's Semifinals - Heat 2,Semifinals - Heat 2,M,Surfing,SRF,"Teahupo'o, Tahiti",1955778,MEDINA Gabriel,Person,BRA,Brazil,2.0,6.33,POINTS,L,,1
2024-08-05T13:32:34+02:00,SRFMSHORTBRD----------FNL-000200--,SRFMSHORTBRD,Men,Men's Bronze Medal Match,Bronze Medal Match,M,Surfing,SRF,"Teahupo'o, Tahiti",1955778,MEDINA Gabriel,Person,BRA,Brazil,1.0,15.54,POINTS,W,,1
2024-08-05T13:32:34+02:00,SRFMSHORTBRD----------FNL-000200--,SRFMSHORTBRD,Men,Men's Bronze Medal Match,Bronze Medal Match,M,Surfing,SRF,"Teahupo'o, Tahiti",1559994,CORREA Alonso,Person,PER,Peru,2.0,12.43,POINTS,L,,5
2024-08-05T14:55:07+02:00,SRFMSHORTBRD----------FNL-000100--,SRFMSHORTBRD,Men,Men's Gold Medal Match,Gold Medal Match,M,Surfing,SRF,"Teahupo'o, Tahiti",1567361,VAAST Kauli,Person,FRA,France,1.0,17.67,POINTS,W,,3
2024-08-05T14:55:07+02:00,SRFMSHORTBRD----------FNL-000100--,SRFMSHORTBRD,Men,Men's Gold Medal Match,Gold Medal Match,M,Surfing,SRF,"Teahupo'o, Tahiti",1946129,ROBINSON Jack,Person,AUS,Australia,2.0,7.83,POINTS,L,,13
2024-07-27T12:22:54+02:00,SRFWSHORTBRD----------PREL000100--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 1,Round 1 - Heat 1,W,Surfing,SRF,"Teahupo'o, Tahiti",1943206,MARKS Caroline,Person,USA,United States,1.0,17.93,POINTS,,Q3,9
2024-07-27T12:22:54+02:00,SRFWSHORTBRD----------PREL000100--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 1,Round 1 - Heat 1,W,Surfing,SRF,"Teahupo'o, Tahiti",1963658,BAUM Sarah,Person,RSA,South Africa,2.0,8.47,POINTS,,Q2,17
2024-07-27T12:22:54+02:00,SRFWSHORTBRD----------PREL000100--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 1,Round 1 - Heat 1,W,Surfing,SRF,"Teahupo'o, Tahiti",1916729,HOPKINS Yolanda,Person,POR,Portugal,3.0,7.00,POINTS,,Q2,8
2024-07-27T12:58:29+02:00,SRFWSHORTBRD----------PREL000200--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 2,Round 1 - Heat 2,W,Surfing,SRF,"Teahupo'o, Tahiti",1567360,FIERRO Vahine,Person,FRA,France,1.0,11.17,POINTS,,Q3,21
2024-07-27T12:58:29+02:00,SRFWSHORTBRD----------PREL000200--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 2,Round 1 - Heat 2,W,Surfing,SRF,"Teahupo'o, Tahiti",1560138,AGUIRRE Sol,Person,PER,Peru,2.0,4.30,POINTS,,Q2,4
2024-07-27T12:58:29+02:00,SRFWSHORTBRD----------PREL000200--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 2,Round 1 - Heat 2,W,Surfing,SRF,"Teahupo'o, Tahiti",1957832,GONZALEZ ETXABARRI Janire,Person,ESP,Spain,3.0,2.43,POINTS,,Q2,13
2024-07-27T13:38:55+02:00,SRFWSHORTBRD----------PREL000300--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 3,Round 1 - Heat 3,W,Surfing,SRF,"Teahupo'o, Tahiti",1946137,WRIGHT Tyler,Person,AUS,Australia,1.0,7.67,POINTS,,Q3,20
2024-07-27T13:38:55+02:00,SRFWSHORTBRD----------PREL000300--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 3,Round 1 - Heat 3,W,Surfing,SRF,"Teahupo'o, Tahiti",1910841,LELIOR Anat,Person,ISR,Israel,2.0,5.43,POINTS,,Q2,5
2024-07-27T13:38:55+02:00,SRFWSHORTBRD----------PREL000300--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 3,Round 1 - Heat 3,W,Surfing,SRF,"Teahupo'o, Tahiti",1934254,DEMPFLE-OLIN Sanoa,Person,CAN,Canada,3.0,4.83,POINTS,,Q2,12
2024-07-27T14:10:42+02:00,SRFWSHORTBRD----------PREL000400--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 4,Round 1 - Heat 4,W,Surfing,SRF,"Teahupo'o, Tahiti",1943208,SIMMERS Caitlin,Person,USA,United States,1.0,12.93,POINTS,,Q3,24
2024-07-27T14:10:42+02:00,SRFWSHORTBRD----------PREL000400--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 4,Round 1 - Heat 4,W,Surfing,SRF,"Teahupo'o, Tahiti",1955783,WESTON-WEBB Tatiana,Person,BRA,Brazil,2.0,10.33,POINTS,,Q2,1
2024-07-27T14:10:42+02:00,SRFWSHORTBRD----------PREL000400--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 4,Round 1 - Heat 4,W,Surfing,SRF,"Teahupo'o, Tahiti",1946132,PICKLUM Molly,Person,AUS,Australia,3.0,8.44,POINTS,,Q2,16
2024-07-27T14:48:11+02:00,SRFWSHORTBRD----------PREL000500--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 5,Round 1 - Heat 5,W,Surfing,SRF,"Teahupo'o, Tahiti",1557964,HENNESSY Brisa,Person,CRC,Costa Rica,1.0,15.56,POINTS,,Q3,15
2024-07-27T14:48:11+02:00,SRFWSHORTBRD----------PREL000500--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 5,Round 1 - Heat 5,W,Surfing,SRF,"Teahupo'o, Tahiti",1567359,DEFAY Johanne,Person,FRA,France,2.0,9.50,POINTS,,Q2,2
2024-07-27T14:48:11+02:00,SRFWSHORTBRD----------PREL000500--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 5,Round 1 - Heat 5,W,Surfing,SRF,"Teahupo'o, Tahiti",1950037,RESANO Candelaria,Person,NCA,Nicaragua,3.0,9.43,POINTS,,Q2,23
2024-07-27T15:24:00+02:00,SRFWSHORTBRD----------PREL000600--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 6,Round 1 - Heat 6,W,Surfing,SRF,"Teahupo'o, Tahiti",1955781,SILVA Luana,Person,BRA,Brazil,1.0,7.27,POINTS,,Q3,19
2024-07-27T15:24:00+02:00,SRFWSHORTBRD----------PREL000600--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 6,Round 1 - Heat 6,W,Surfing,SRF,"Teahupo'o, Tahiti",1955782,HINCKEL Taina,Person,BRA,Brazil,2.0,5.73,POINTS,,Q2,6
2024-07-27T15:24:00+02:00,SRFWSHORTBRD----------PREL000600--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 6,Round 1 - Heat 6,W,Surfing,SRF,"Teahupo'o, Tahiti",1556614,KEMP Camilla,Person,GER,Germany,3.0,2.80,POINTS,,Q2,11
2024-07-27T15:59:07+02:00,SRFWSHORTBRD----------PREL000700--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 7,Round 1 - Heat 7,W,Surfing,SRF,"Teahupo'o, Tahiti",1957831,EROSTARBE Nadia,Person,ESP,Spain,1.0,13.83,POINTS,,Q3,3
2024-07-27T15:59:07+02:00,SRFWSHORTBRD----------PREL000700--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 7,Round 1 - Heat 7,W,Surfing,SRF,"Teahupo'o, Tahiti",1919017,VETTE Saffi,Person,NZL,New Zealand,2.0,7.50,POINTS,,Q2,22
