date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM
2024-07-27T21:53:51+02:00,BDMMDOUBLES-----------GPD-000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-JPN01,HOKI Takuro / KOBAYASHI Yugo,Team,JPN,Japan,0,POINTS,L,
2024-07-27T21:53:51+02:00,BDMMDOUBLES-----------GPD-000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-TPE01,LEE Yang / WANG Chi-Lin,Team,TPE,Chinese Taipei,2,POINTS,W,
2024-07-27T22:44:59+02:00,BDMMDOUBLES-----------GPB-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-KOR01,KANG Min Hyuk / SEO Seung Jae,Team,KOR,Korea,2,POINTS,W,
2024-07-27T22:44:59+02:00,BDMMDOUBLES-----------GPB-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CZE01,KRAL Ondrej / MENDREK Adam,Team,CZE,Czechia,0,POINTS,L,
2024-07-27T22:58:27+02:00,BDMMDOUBLES-----------GPD-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-DEN01,ASTRUP Kim / RASMUSSEN Anders Skaarup,Team,DEN,Denmark,2,POINTS,W,
2024-07-27T22:58:27+02:00,BDMMDOUBLES-----------GPD-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-USA01,CHIU Vinson / YUAN Joshua,Team,USA,United States,0,POINTS,L,
2024-07-28T10:39:11+02:00,BDMMDOUBLES-----------GPA-000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-MAS01,CHIA Aaron / SOH Wooi Yik,Team,MAS,Malaysia,2,POINTS,W,
2024-07-28T10:39:11+02:00,BDMMDOUBLES-----------GPA-000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CAN01,DONG Adam / YAKURA Nyl,Team,CAN,Canada,0,POINTS,L,
2024-07-28T11:18:29+02:00,BDMMDOUBLES-----------GPA-000300--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN02,LIANG Wei Keng / WANG Chang,Team,CHN,China,2,POINTS,W,
2024-07-28T11:18:29+02:00,BDMMDOUBLES-----------GPA-000300--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-GBR01,LANE Ben / VENDY Sean,Team,GBR,Great Britain,1,POINTS,L,
2024-07-28T14:47:51+02:00,BDMMDOUBLES-----------GPB-000300--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-KOR01,KANG Min Hyuk / SEO Seung Jae,Team,KOR,Korea,2,POINTS,W,
2024-07-28T14:47:51+02:00,BDMMDOUBLES-----------GPB-000300--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-FRA01,POPOV Christo / POPOV Toma Junior,Team,FRA,France,0,POINTS,L,
2024-07-28T17:22:01+02:00,BDMMDOUBLES-----------GPB-000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-THA01,JOMKOH Supak / KEDREN Kittinupong,Team,THA,Thailand,2,POINTS,W,
2024-07-28T17:22:01+02:00,BDMMDOUBLES-----------GPB-000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CZE01,KRAL Ondrej / MENDREK Adam,Team,CZE,Czechia,0,POINTS,L,
2024-07-28T22:23:48+02:00,BDMMDOUBLES-----------GPD-000300--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN01,LIU Yu Chen / OU Xuan Yi,Team,CHN,China,2,POINTS,W,
2024-07-28T22:23:48+02:00,BDMMDOUBLES-----------GPD-000300--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-USA01,CHIU Vinson / YUAN Joshua,Team,USA,United States,0,POINTS,L,
2024-07-29T10:47:34+02:00,BDMMDOUBLES-----------GPD-000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-DEN01,ASTRUP Kim / RASMUSSEN Anders Skaarup,Team,DEN,Denmark,1,POINTS,L,
2024-07-29T10:47:34+02:00,BDMMDOUBLES-----------GPD-000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-TPE01,LEE Yang / WANG Chi-Lin,Team,TPE,Chinese Taipei,2,POINTS,W,
2024-07-29T11:48:04+02:00,BDMMDOUBLES-----------GPC-000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group C,Group Play Stage - Group C,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-INA01,ALFIAN Fajar / ARDIANTO Muhammad Rian,Team,INA,Indonesia,2,POINTS,W,
2024-07-29T11:48:04+02:00,BDMMDOUBLES-----------GPC-000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group C,Group Play Stage - Group C,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-FRA02,CORVEE Lucas / LABAR Ronan,Team,FRA,France,0,POINTS,L,
2024-07-29T16:27:34+02:00,BDMMDOUBLES-----------GPD-000600--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-DEN01,ASTRUP Kim / RASMUSSEN Anders Skaarup,Team,DEN,Denmark,2,POINTS,W,
2024-07-29T16:27:34+02:00,BDMMDOUBLES-----------GPD-000600--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN01,LIU Yu Chen / OU Xuan Yi,Team,CHN,China,0,POINTS,L,
2024-07-29T20:09:51+02:00,BDMMDOUBLES-----------GPD-000500--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-JPN01,HOKI Takuro / KOBAYASHI Yugo,Team,JPN,Japan,2,POINTS,W,
2024-07-29T20:09:51+02:00,BDMMDOUBLES-----------GPD-000500--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-USA01,CHIU Vinson / YUAN Joshua,Team,USA,United States,0,POINTS,L,
2024-07-29T21:11:24+02:00,BDMMDOUBLES-----------GPA-000500--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-GBR01,LANE Ben / VENDY Sean,Team,GBR,Great Britain,2,POINTS,W,
2024-07-29T21:11:24+02:00,BDMMDOUBLES-----------GPA-000500--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CAN01,DONG Adam / YAKURA Nyl,Team,CAN,Canada,0,POINTS,L,
2024-07-29T23:12:20+02:00,BDMMDOUBLES-----------GPA-000600--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN02,LIANG Wei Keng / WANG Chang,Team,CHN,China,2,POINTS,W,
2024-07-29T23:12:20+02:00,BDMMDOUBLES-----------GPA-000600--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-MAS01,CHIA Aaron / SOH Wooi Yik,Team,MAS,Malaysia,0,POINTS,L,
2024-07-30T11:42:12+02:00,BDMMDOUBLES-----------GPD-000700--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-TPE01,LEE Yang / WANG Chi-Lin,Team,TPE,Chinese Taipei,2,POINTS,W,
2024-07-30T11:42:12+02:00,BDMMDOUBLES-----------GPD-000700--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-USA01,CHIU Vinson / YUAN Joshua,Team,USA,United States,0,POINTS,L,
2024-07-30T14:44:27+02:00,BDMMDOUBLES-----------GPC-000600--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group C,Group Play Stage - Group C,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-IND01,RANKIREDDY Satwiksairaj / SHETTY Chirag,Team,IND,India,2,POINTS,W,
2024-07-30T14:44:27+02:00,BDMMDOUBLES-----------GPC-000600--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group C,Group Play Stage - Group C,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-INA01,ALFIAN Fajar / ARDIANTO Muhammad Rian,Team,INA,Indonesia,0,POINTS,L,
2024-07-30T16:49:48+02:00,BDMMDOUBLES-----------GPB-000600--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-KOR01,KANG Min Hyuk / SEO Seung Jae,Team,KOR,Korea,2,POINTS,W,
2024-07-30T16:49:48+02:00,BDMMDOUBLES-----------GPB-000600--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-THA01,JOMKOH Supak / KEDREN Kittinupong,Team,THA,Thailand,0,POINTS,L,
2024-07-30T17:02:44+02:00,BDMMDOUBLES-----------GPD-000800--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-JPN01,HOKI Takuro / KOBAYASHI Yugo,Team,JPN,Japan,0,POINTS,L,
2024-07-30T17:02:44+02:00,BDMMDOUBLES-----------GPD-000800--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN01,LIU Yu Chen / OU Xuan Yi,Team,CHN,China,2,POINTS,W,
2024-07-30T21:53:33+02:00,BDMMDOUBLES-----------GPB-000500--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-FRA01,POPOV Christo / POPOV Toma Junior,Team,FRA,France,2,POINTS,W,
2024-07-30T21:53:33+02:00,BDMMDOUBLES-----------GPB-000500--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CZE01,KRAL Ondrej / MENDREK Adam,Team,CZE,Czechia,0,POINTS,L,
2024-07-31T14:52:19+02:00,BDMMDOUBLES-----------GPD-001000--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-DEN01,ASTRUP Kim / RASMUSSEN Anders Skaarup,Team,DEN,Denmark,2,POINTS,W,
2024-07-31T14:52:19+02:00,BDMMDOUBLES-----------GPD-001000--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-JPN01,HOKI Takuro / KOBAYASHI Yugo,Team,JPN,Japan,0,POINTS,L,
2024-07-31T15:10:39+02:00,BDMMDOUBLES-----------GPD-000900--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN01,LIU Yu Chen / OU Xuan Yi,Team,CHN,China,1,POINTS,L,
2024-07-31T15:10:39+02:00,BDMMDOUBLES-----------GPD-000900--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-TPE01,LEE Yang / WANG Chi-Lin,Team,TPE,Chinese Taipei,2,POINTS,W,
2024-08-01T13:56:09+02:00,BDMMDOUBLES-----------QFNL000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Quarterfinal,Quarterfinal,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN02,LIANG Wei Keng / WANG Chang,Team,CHN,China,2,POINTS,W,
2024-08-01T13:56:09+02:00,BDMMDOUBLES-----------QFNL000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Quarterfinal,Quarterfinal,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-INA01,ALFIAN Fajar / ARDIANTO Muhammad Rian,Team,INA,Indonesia,0,POINTS,L,
2024-08-01T14:01:42+02:00,BDMMDOUBLES-----------QFNL000300--,BDMMDOUBLES,Men's Doubles,Men's Doubles Quarterfinal,Quarterfinal,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-DEN01,ASTRUP Kim / RASMUSSEN Anders Skaarup,Team,DEN,Denmark,2,POINTS,W,
2024-08-01T14:01:42+02:00,BDMMDOUBLES-----------QFNL000300--,BDMMDOUBLES,Men's Doubles,Men's Doubles Quarterfinal,Quarterfinal,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-KOR01,KANG Min Hyuk / SEO Seung Jae,Team,KOR,Korea,0,POINTS,L,
2024-08-01T14:07:30+02:00,BDMMDOUBLES-----------QFNL000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Quarterfinal,Quarterfinal,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-IND01,RANKIREDDY Satwiksairaj / SHETTY Chirag,Team,IND,India,1,POINTS,L,
2024-08-01T14:07:30+02:00,BDMMDOUBLES-----------QFNL000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Quarterfinal,Quarterfinal,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-MAS01,CHIA Aaron / SOH Wooi Yik,Team,MAS,Malaysia,2,POINTS,W,
2024-08-01T14:58:59+02:00,BDMMDOUBLES-----------QFNL000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Quarterfinal,Quarterfinal,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-THA01,JOMKOH Supak / KEDREN Kittinupong,Team,THA,Thailand,0,POINTS,L,
2024-08-01T14:58:59+02:00,BDMMDOUBLES-----------QFNL000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Quarterfinal,Quarterfinal,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-TPE01,LEE Yang / WANG Chi-Lin,Team,TPE,Chinese Taipei,2,POINTS,W,
2024-08-02T12:22:24+02:00,BDMMDOUBLES-----------SFNL000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Semifinal,Semifinal,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN02,LIANG Wei Keng / WANG Chang,Team,CHN,China,2,POINTS,W,
2024-08-02T12:22:24+02:00,BDMMDOUBLES-----------SFNL000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Semifinal,Semifinal,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-MAS01,CHIA Aaron / SOH Wooi Yik,Team,MAS,Malaysia,1,POINTS,L,
2024-08-02T13:38:20+02:00,BDMMDOUBLES-----------SFNL000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Semifinal,Semifinal,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-DEN01,ASTRUP Kim / RASMUSSEN Anders Skaarup,Team,DEN,Denmark,1,POINTS,L,
2024-08-02T13:38:20+02:00,BDMMDOUBLES-----------SFNL000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Semifinal,Semifinal,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-TPE01,LEE Yang / WANG Chi-Lin,Team,TPE,Chinese Taipei,2,POINTS,W,
2024-08-04T16:17:26+02:00,BDMMDOUBLES-----------FNL-000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Bronze Medal Match,Bronze Medal Match,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-MAS01,CHIA Aaron / SOH Wooi Yik,Team,MAS,Malaysia,2,POINTS,W,
2024-08-04T16:17:26+02:00,BDMMDOUBLES-----------FNL-000200--,BDMMDOUBLES,Men's Doubles,Men's Doubles Bronze Medal Match,Bronze Medal Match,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-DEN01,ASTRUP Kim / RASMUSSEN Anders Skaarup,Team,DEN,Denmark,1,POINTS,L,
2024-08-04T17:45:40+02:00,BDMMDOUBLES-----------FNL-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Gold Medal Match,Gold Medal Match,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN02,LIANG Wei Keng / WANG Chang,Team,CHN,China,1,POINTS,L,
2024-08-04T17:45:40+02:00,BDMMDOUBLES-----------FNL-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Gold Medal Match,Gold Medal Match,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-TPE01,LEE Yang / WANG Chi-Lin,Team,TPE,Chinese Taipei,2,POINTS,W,
2024-07-27T11:45:12+02:00,BDMMSINGLES-----------GPC-000100--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group C,Group Play Stage - Group C,M,Badminton,BDM,La Chapelle Arena,1926294,VITIDSARN Kunlavut,Person,THA,Thailand,2,POINTS,W,
2024-07-27T11:45:12+02:00,BDMMSINGLES-----------GPC-000100--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group C,Group Play Stage - Group C,M,Badminton,BDM,La Chapelle Arena,1550150,PAUL Georges Julien,Person,MRI,Mauritius,0,POINTS,L,
2024-07-27T11:50:19+02:00,BDMMSINGLES-----------GPA-000300--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group A,Group Play Stage - Group A,M,Badminton,BDM,La Chapelle Arena,1913421,SHI Yu Qi,Person,CHN,China,2,POINTS,W,
2024-07-27T11:50:19+02:00,BDMMSINGLES-----------GPA-000300--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group A,Group Play Stage - Group A,M,Badminton,BDM,La Chapelle Arena,1540583,OPTI Soren,Person,SUR,Suriname,0,POINTS,L,
2024-07-27T16:29:15+02:00,BDMMSINGLES-----------GPL-000200--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group L,Group Play Stage - Group L,M,Badminton,BDM,La Chapelle Arena,1539849,SEN Lakshya,Person,IND,India,2,POINTS,W,
2024-07-27T16:29:15+02:00,BDMMSINGLES-----------GPL-000200--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group L,Group Play Stage - Group L,M,Badminton,BDM,La Chapelle Arena,1952948,CORDON Kevin,Person,GUA,Guatemala,0,POINTS,L,
2024-07-27T17:52:12+02:00,BDMMSINGLES-----------GPL-000100--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group L,Group Play Stage - Group L,M,Badminton,BDM,La Chapelle Arena,1926319,CHRISTIE Jonatan,Person,INA,Indonesia,2,POINTS,W,
2024-07-27T17:52:12+02:00,BDMMSINGLES-----------GPL-000100--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group L,Group Play Stage - Group L,M,Badminton,BDM,La Chapelle Arena,1895599,CARRAGGI Julien,Person,BEL,Belgium,1,POINTS,L,
2024-07-27T22:07:32+02:00,BDMMSINGLES-----------GPP-000100--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group P,Group Play Stage - Group P,M,Badminton,BDM,La Chapelle Arena,1888993,AXELSEN Viktor,Person,DEN,Denmark,2,POINTS,W,
2024-07-27T22:07:32+02:00,BDMMSINGLES-----------GPP-000100--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group P,Group Play Stage - Group P,M,Badminton,BDM,La Chapelle Arena,1968020,DAHAL Prince,Person,NEP,Nepal,0,POINTS,L,
2024-07-27T22:59:40+02:00,BDMMSINGLES-----------GPP-000200--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group P,Group Play Stage - Group P,M,Badminton,BDM,La Chapelle Arena,1543272,NGUYEN Nhat,Person,IRL,Ireland,2,POINTS,W,
2024-07-27T22:59:40+02:00,BDMMSINGLES-----------GPP-000200--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group P,Group Play Stage - Group P,M,Badminton,BDM,La Chapelle Arena,1543694,ZILBERMAN Misha,Person,ISR,Israel,1,POINTS,L,
2024-07-28T09:12:40+02:00,BDMMSINGLES-----------GPD-000300--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,1541620,NISHIMOTO Kenta,Person,JPN,Japan,2,POINTS,W,
2024-07-28T09:12:40+02:00,BDMMSINGLES-----------GPD-000300--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group D,Group Play Stage - Group D,M,Badminton,BDM,La Chapelle Arena,1927298,PANARIN Dmitriy,Person,KAZ,Kazakhstan,0,POINTS,L,
2024-07-28T11:23:12+02:00,BDMMSINGLES-----------GPG-000300--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group G,Group Play Stage - Group G,M,Badminton,BDM,La Chapelle Arena,1566617,LEE Zii Jia,Person,MAS,Malaysia,2,POINTS,W,
2024-07-28T11:23:12+02:00,BDMMSINGLES-----------GPG-000300--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group G,Group Play Stage - Group G,M,Badminton,BDM,La Chapelle Arena,1964622,NETTASINGHE Viren,Person,SRI,Sri Lanka,0,POINTS,L,
2024-07-28T12:09:17+02:00,BDMMSINGLES-----------GPN-000300--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group N,Group Play Stage - Group N,M,Badminton,BDM,La Chapelle Arena,1913419,LI Shi Feng,Person,CHN,China,2,POINTS,W,
2024-07-28T12:09:17+02:00,BDMMSINGLES-----------GPN-000300--,BDMMSINGLES,Men's Singles,Men's Singles Group Play Stage - Group N,Group Play Stage - Group N,M,Badminton,BDM,La Chapelle Arena,1977696,KUENZI Tobias,Person,SUI,Switzerland,0,POINTS,L,
