code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports
1533189,True,TAPIA VIDAL Rosa Maria,TAPIA VIDAL RM,Rosa Maria TAPIA VIDAL,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Triathlon'],"[""Women's Individual""]",1997-08-27,HERMOSILLO,Mexico,GUADALAJARA,Mexico,,,Athlete,"Nutrition - Universidad La Salle Noroeste, Ciudad Obregon, Mexico",,"English, Spanish",Luis Miguel Chávez Rincón,"She always liked running and was involved in swimming so her father encouraged her to try triathlon. “When I started practising it I realised that I liked it more than just swimming, it was more dynamic, more entertaining. I had always had the idea of ​​dedicating myself to this and seeking to qualify for the Olympic Games.” (mural.com.mx, 28 Mar 2023)",,,,,,
1533190,True,GRAJALES Crisanto,GRAJALES C,Crisanto GRAJALES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Triathlon'],"[""Men's Individual""]",1987-05-06,XALAPA,Mexico,XALAPA,Mexico,"Diamante Negro (Black Diamond), Martillo Xalapeno (Hammer from Xalapa, given to him by Spanish triathlete Javier Gomez Noya)","Music, films",Athlete,Sport Studies - University of Veracuz (MEX),"Father, Crisanto Grajales Landa",Spanish,Personal: Eugenio Chimal (MEX),"Both his parents ran marathons. At age five his father used to take him to run alongside him. Four years later he took part in his first triathlon. ""I considered it a complete and dynamic sport."" (chicagotribune.com, 29 Jul 2016)",Athlete German Silva (MEX).</p><p>Boxer Julio Cesar Chavez (MEX),,"""In triathlon the body is pushed to the limit. You close your eyes and see a tunnel with a light at the end and the body is sustained only by the objective of reaching the goal."" (chicagotribune.com, 29 Jul 2016)",,,
1533208,True,MAAROUFOU Hachim,MAAROUFOU H,Hachim MAAROUFOU,Male,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,183.0,0.0,['Athletics'],"[""Men's 100m""]",1997-02-13,MARSEILLE,France,MARSEILLE,France,,,Athlete,,,French,Personal: Franck Ne (FRA),"Started training in athletics to improve his cardio for football. He eventually turned his focus to athletics after his football coach told his players they should play for league relegation in 2015. ""It was unthinkable for me to play to lose."" (lamarseillaise.fr, 17 Jul 2003)",,,,,,
1533209,True,SAADI Maesha,SAADI M,Maesha SAADI,Female,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,0.0,0.0,['Swimming'],"[""Women's 50m Freestyle""]",2007-01-16,VIENNE,France,SAINT-ROMAIN-EN-GAL,France,,,"Athlete, student",,"Fther, Abdou-Salam. Mother, Berangere Bardin",French,Personal: Marc-Olivier Froger,Recruited into the Comoros Swimming Federation after her first competition,,,,,,
1533230,True,DIOSDADO Nuria,DIOSDADO N,Nuria DIOSDADO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],"['Team', 'Duet']",1990-08-22,GUADALAJARA,Mexico,MEXICO CITY,Mexico,"Nutria (""Otter"" in Spanish)","Spending time with friends, playing the piano, going to the cinema","Athlete, sport soldier","Studied Business Administration at Anahuac University (MEX) and later completed two Master's Degrees in Marketing and Public Image at the College of Public Image (Mexico City, MEX)","Husband, Javier Arnaiz (married May 2022). Father, Gilberto. Mother, Carmen Montserrat Garcia. Sister, Palmira Montserrat Diosdado",Spanish,National: Adriana Loftus (MEX),"Began artistic swimming to combat her hyperactivity and found it was a good way to express herself. At age 12, she was inspired to greatness by the Mexican team at the 2003 World Championships in Barcelona. “I am an example that you can get where you want with attitude and not exactly with aptitude. I was not a star child, nor did I demonstrate the qualities to do this sport when I was little."" (altonivel.com.mx, 6 Jan 2020)","Spanish artistic swimmer Gemma Mengual, 2008 Olympic silver medallist in duet and team",Her parents,"""Let everything you do be guided by your passion and conviction to reach a goal, no matter how difficult it may seem."" (myInfo)",,,
1533231,True,JIMENEZ Joana,JIMENEZ J,Joana JIMENEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],"['Team', 'Duet']",1993-08-19,ECATEPEC DE MORELOS,Mexico,MEXICO CITY,Mexico,Joa,Dancing,"Athlete, sport soldier","Studied undergrad Psychology at the University of Latin America (Mexico City, MEX) and completed her Master's degree in the same subject at the Technological University of Mexico (Mexico City)","Brother, Jorge",Spanish,National: Adriana Loftus (MEX),"Her parents enrolled her in sporting activities such as athletics, basketball and swimming. During swimming lessons she discovered artistic swimming and was hooked. After feeling disappointed that she was not improving, however, she went back to athletics and took part in a junior national competition. A former coach encouraged her to return to artistic swimming and, at age 14, she decided to focus on it full-time. ""During a competition in Oaxtepec, Mexico, the first team was doing an exhibition and I was told they represented the national team. I said, 'Does that really exist?' And, at that moment, I wanted to be on that team and to represent Mexico."" (myInfo)",,"Fictional boxer Rocky Balboa from the ""Rocky"" movie series. ""I saw the entire Rocky saga with my father, and I said, 'Wow. I want to do what he does, I want to be just as good’. I even told my parents that I wanted to be a boxer... Although I didn't go into boxing, the truth is that Rocky Balboa taught me to be someone, and I always think that if he went from street fights to being world champion, I could do something like that too."" (heraldodemexico.com.mx, 2 Aug 2021)",,,,
1533232,True,SOBRINO Jessica,SOBRINO J,Jessica SOBRINO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],1994-05-26,MEXICO CITY,Mexico,MEXICO CITY,Mexico,,"Going to the movies, going to restaurants",Athlete,"Studied Business Administration at the Autonomous University of Mexico State (Toluca, MEX)","Sister, Pamela",Spanish,National: Adriana Loftus (MEX),Followed her sister into artistic swimming,,,,"Uncle, Salvador ""Chava"" Sabrino (diving), finished 11th in the 10m platform event at the 1980 Olympic Games and is head coach for the Australian national team",,
1533234,True,ALFEREZ Regina,ALFEREZ R,Regina ALFEREZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],1997-12-01,,,MEXICO CITY,Mexico,,"Travel, photography, cooking, spending time with friends",Athlete,"Studied at Tecmilenio University (Monterrey, MEX)",,Spanish,National: Adriana Loftus (MEX),,,,,,,
1533235,True,ARELLANO Fernanda,ARELLANO F,Fernanda ARELLANO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],2002-02-28,,,MEXICO CITY,Mexico,,,"Athlete, student","Studies at the University of the Valley of Mexico Coyoacan-Tlalpan (Mexico City, MEX)","Partner, Iker Casas",Spanish,National: Adriana Loftus (MEX),Trained in swimming since she was a young child and started artistic swimming after she was intrigued watching a practice one day,,,,"Partner, Iker Casas (taekwondo), won a bronze medal at the 2018 Central American and Caribbean Games (63kg) and a silver at the 2021 Pan American Championships (68kg)",,
1533237,True,TOSCANO Pamela,TOSCANO P,Pamela TOSCANO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],2000-01-13,,,GUADALAJARA,Mexico,,Choreography,"Athlete, sport soldier","Studied Business Administration at Anahuac University (Mexico City, MEX)",,Spanish,National: Adriana Loftus (MEX),,,,,,,
1533239,True,GONZALEZ Itzamary,GONZALEZ I,Itzamary GONZALEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],2003-11-14,,,,,,,Athlete,,,Spanish,National: Adriana Loftus (MEX),,,,,,,
1533240,True,RODRIGUEZ Samanta,RODRIGUEZ S,Samanta RODRIGUEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],1994-12-05,,,,,Samanta,,Athlete,,,Spanish,National: Adriana Loftus (MEX),"Her mother enrolled her in swimming lessons because she herself did not know how to swim and worried for her children at the beach. When Rubio was a strong enough swimmer, her mother was given a choice between the aquatic sports, and she picked artistic swimming",,,"""Be brave."" (Facebook profile)",,,
1533243,True,INZUNZA Glenda,INZUNZA G,Glenda INZUNZA,Female,Alternate Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],2000-03-12,,,,,,,,,,,,,,,,,,
1533245,True,SEHEN Sajjad,SEHEN S,Sajjad SEHEN,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,0.0,0.0,['Judo'],['Men -81 kg'],1996-03-08,,Iraq,,Iraq,,,,,,Arabic,,,,,,,,
1533359,True,RUBAIAWI Ali Ammar Yusur,RUBAIAWI AAY,Ali Ammar Yusur RUBAIAWI,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,0.0,0.0,['Weightlifting'],"[""Men's +102kg""]",2004-08-02,,,BAGHDAD,Iraq,,,Athlete,,,Arabic,,,,,,,,
1533364,True,ISMAIL Mohamed,ISMAIL M,Mohamed ISMAIL,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,170.0,0.0,['Athletics'],"[""Men's 5000m""]",1997-01-01,,Djibouti,ALI SABIEH,Djibouti,Fatah,,"Athlete, sport soldier",,Married. Two children. The third of 10 children,"French, Somali",Personal: Hussein Shibo (ETH),"Attended a primary school located three kilometres from his home, which helped build his endurance. Was spotted in middle school during sports classes and got selected to join the sport-study training programme in Ali-Sabieh","Middle-distance runner Ayanleh Souleiman (DJI), 2016 Olympic 1500m finalist, 2013 World Championships 800m bronze medallist, 2014 World Indoor Championships 1500m gold medallist",,,,,
1533371,True,HASSAN Ibrahim,HASSAN I,Ibrahim HASSAN,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,170.0,0.0,['Athletics'],"[""Men's Marathon""]",1997-01-01,,,,Djibouti,Ougas,,"Athlete, soldier with the Djiboutian Republican Guard",,Married. One daughter,Somali,,,"Marathoner Ahmed Salah (DJI), 1988 Olympic bronze medallist, four-time Olympian (1984, 1988, 1992, 1996), two-time world championships silver medallist (1987, 1991)",,,,,
1533372,True,WAISS Abdi,WAISS A,Abdi WAISS,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,170.0,0.0,['Athletics'],"[""Men's 5000m""]",1996-07-03,,Djibouti,,,,,"Athlete, sport soldier",,"Wife, Nadine Nasri (2022)","French, Somali",Personal: Hussein Shibo (ETH),,,,,,,
1533374,True,HASSAN NOUR Samiyah,HASSAN NOUR S,Samiyah HASSAN NOUR,Female,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,160.0,0.0,['Athletics'],"[""Women's 5000m""]",1999-12-05,,,,,,,"Athlete, sport soldier",,,,Personal: Hussein Shibo (ETH),,,,,,,
1533378,True,HOUSSEIN BARKAT Houmed,HOUSSEIN BARKAT H,Houmed HOUSSEIN BARKAT,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,0.0,0.0,['Swimming'],"[""Men's 50m Freestyle""]",2004-04-04,,,DJIBOUTI,Djibouti,,,,,,"English, French",,,,,,,,
1535180,True,BARAT Andy,BARAT A,Andy BARAT,Male,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,0.0,0.0,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",1997-11-29,ANJOUAN,Comoros,,France,,,,,,French,Personal: Lukas Jacob,"Was introduced to canoeing by his cousin, a member of the Club de Canoe-Kayak de Clisson in Loire-Atlantique",,,,,,
1535186,True,MARTINEZ RAMIREZ Miguel Angel,MARTINEZ RAMIREZ M,Miguel Angel MARTINEZ RAMIREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,178.0,0.0,['Boxing'],"[""Men's 63.5kg""]",2001-03-17,DURANGO,Mexico,,Mexico,Piolin,,,,,Spanish,,,,,,,,
1535187,True,VERDE ALVAREZ Marco Alonso,VERDE ALVAREZ MA,Marco Alonso VERDE ALVAREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,180.0,0.0,['Boxing'],"[""Men's 71kg""]",2002-02-11,MAZATLAN,Mexico,MAZATLAN,Mexico,Green,,,,"Father, Manuel",Spanish,Personal: Radames Hernandez (MEX),"Played baseball for seven or eight years, before following his father Manuel into boxing - even though Manuel wanted Marco to stick with a baseball glove rather than switch to boxing gloves",,,,"Father, Manuel Verde (boxing), competed for Mexico in the men's light heavyweight division at the Barcelona 1992 Olympic Games",,
1535191,True,GONZALEZ Alegna,GONZALEZ A,Alegna GONZALEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,158.0,0.0,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1999-01-02,OJINAGA,Mexico,MEXICO CITY,Mexico,,,"Athlete, serves in the navy","Graduated in 2021 with a degree in Sports Science from Universidad La Salle, Mexico City (MEX). Plans to pursue a Master's degree in Political Science","Mother, Yadira. Grandmother, Angela",Spanish,"Personal: Ignacio Zamudio (MEX), 1996 Olympian",,"Race walker Raul Gonzalez (MEX), two-time 1984 Olympic medallist (50km gold, 20km silver), four-time Olympian (1972, 1976, 1980, 1984), three-time world race walking cup 50km champion (1977, 1981, 1983) and his coach, 1996 Olympian Ignacio Zamudio (MEX)","Her mother and grandmother. ""I do race walking for them. I call them both mom."" (eleconomista.com.mx, 10 Mar 2021)",,,,
1535195,True,LOPEZ Jesus Tonatiu,LOPEZ JT,Jesus Tonatiu LOPEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,190.0,0.0,['Athletics'],"[""Men's 800m""]",1997-08-02,HERMOSILLO,Mexico,HERMOSILLO,Mexico,Tona,"Reading, listening to music, puzzles",Athlete,"Sport Studies at University of Sonora (Hermosillo, MEX)","Father, Ramon Enrique. Mother, Claudia. Three brothers",Spanish,Personal: Conrado Soto (MEX),"Began playing American football at an early age. His coach saw he had potential for athletics and advised his family to enrol him in the sport. ""I didn't like it at all. I was around eight or nine and I didn't want to go to training because I'd rather go with my friends to play video games. But things changed."" (myInfo)",His parents,His family,"""Quit now and every battle will have been in vain."" (myInfo)",,,
1535199,True,PORTILLO Erick,PORTILLO E,Erick PORTILLO,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,190.0,0.0,['Athletics'],"[""Men's High Jump""]",2000-10-05,CHIHUAHUA,Mexico,MEXICO CITY,Mexico,El flaco (the slim one),,Athlete,,"Father, Ramon. Mother, Janet. Has two brothers",Spanish,Personal: Lazaro Paz (CUB),,,,,"Brother Jair (athletics), 2024 National Championships high jump silver medallist",,
1535201,True,MUNOZ Uziel,MUNOZ U,Uziel MUNOZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,185.0,0.0,['Athletics'],"[""Men's Shot Put""]",1995-09-08,NUEVO CASAS GRANDES,Mexico,MONTERREY,Mexico,,,Athlete,Graduated with a Bachelor's degree in Business Administration from the Autonomous University of Ciudad Juarez (MEX),"Partner, Jazmin Jara. Son, Uziel. Brother Mateo (died in 2016)",Spanish,Personal: Alejandro Laberdesque (CUB),,,,,,,
1535202,True,del REAL Diego,del REAL D,Diego del REAL,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,185.0,0.0,['Athletics'],"[""Men's Hammer Throw""]",1994-03-06,MONTERREY,Mexico,MONTERREY,Mexico,The Cat. El Thor Mexicano (the Mexican Thor),,Athlete,"Nuevo Leon State Autonomous University (San Nicolas de los Garza, MEX)","Father, Eduardo. Has three siblings","English, Spanish",Personal: Alejandro Laberdesque (CUB),"“I did not understand the link between American football and hammer throw, but I started to train. My coach made me love this uncommon specialty (hammer). I decided to stay when I weighed up my options. I knew that to get into the NFL (professional American football), many things were needed and they did not depend on my physical capacity. This one (hammer) is an individual sport, and the responsibility is mine. I have control over my results.” (proceso.com.mx, 29 Jan 2017)",,,,,,
1535203,True,DOCTOR Jose Luis,DOCTOR JL,Jose Luis DOCTOR,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,175.0,0.0,['Athletics'],"[""Men's 20km Race Walk""]",1996-06-14,HUIXQUILUCAN,Mexico,MEXICO CITY,Mexico,,,Athlete,,,Spanish,"Personal: Raul Gonzalez (MEX), four-time Olympian and two-time 1984 Olympic race walk medallist",,,,,,,
1535212,True,MORAN Paola,MORAN P,Paola MORAN,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,169.0,0.0,['Athletics'],"[""Women's 400m""]",1997-02-25,GUADALAJARA,Mexico,GUADALAJARA,Mexico,,"Reading, watching television and walking her dog. Loves tacos",Athlete,"Graduated in 2022 with a Bachelor's degree in Nutrition and General Well-being from the Monterrey Institute of Technology and Higher Education (Guadalajara, MEX)",Has four siblings,Spanish,Personal: Luis Montes Leon (MEX),"She decided to pursue a career in the sport after serving as a volunteer at the athletics competition of the 2011 Pan American Games in Guadalajara, Mexico. ""I carried the athletes' belongings and I admired them. It was so exciting. They inspired me to keep going in my sport."" (Juegos Lima 2019 YouTube channel, 7 Aug 2019)","Hurdler Sydney McLaughlin-Levrone (USA), two-time 2020 Olympic champion (400m hurdles, 4x400m relay), four-time world championship medallist (three gold, one silver)",,"""It's worth fighting for your dreams, because that's how you show yourself that you can accomplish everything you want."" (myInfo)",,,
1535214,True,GALVAN Laura,GALVAN L,Laura GALVAN,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,162.0,0.0,['Athletics'],"[""Women's 5000m""]",1991-10-05,LA SAUCEDA,Mexico,GUANAJUATO,Mexico,The Gazelle from La Sauceda (her hometown),"Loves chilaquiles, a Mexican breakfast dish, and listening to podcasts",Athlete,"Graduated in 2016 with a Bachelor's degree in Food Science and Industry from Kansas State University, Manhattan, KS (USA)","Father, Ramon. Mother, Andrea. Six siblings","English, Spanish",Personal: Cecilio Blancarte (MEX),,,,"""Be courageous and open-minded when trying to meet your goals and dreams. The only thing that is impossible is that which you never try."" (hoka.com, 3 Mar 2020)",,,
1535216,True,CORTES Alma Delia,CORTES AD,Alma Delia CORTES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,160.0,0.0,['Athletics'],"[""Women's 5000m""]",1997-12-26,TULTITLAN,Mexico,TULTITLAN,Mexico,,,Athlete,"Graduated with a Bachelor's degree in Criminology at Centro Universitario de  Cuautitlan, Cuautitlan (MEX)",,Spanish,Personal: Martin Nunez (MEX),,Distance runner Marisol Romero (MEX),,,,,
1535217,True,CRISTIAN MOSCOTE Citlali,CRISTIAN MOSCOTE C,Citlali CRISTIAN MOSCOTE,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,154.0,0.0,['Athletics'],"[""Women's Marathon""]",1995-04-15,SAN JUAN DE LOS LAGOS,Mexico,ZAPOPAN,Mexico,,,Athlete,Studies Marketing at University of Guadalajara (MEX),,Spanish,Personal: Cristobal Herrera (MEX),,,,,,,
1535222,True,PALMA OLIVARES Ever Jair,PALMA OLIVARES EJ,Ever Jair PALMA OLIVARES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,168.0,0.0,['Athletics'],['Marathon Race Walk Relay Mixed'],1992-03-18,ZIT?CUARO,Mexico,,Mexico,,"Travelling, learning about foreign cultures.</p><p>Started learning French for nine months ahead of the 2024 Paris Olympic Games, but upon his arrival in Paris, realised that the language is more complicated than expected. ""It's not easy at all, but you try."" (esto.com.mx, 26 Jul 2024)","Athlete, entrepreneur",Business Administration - Universidad Anahuac Mexico North Campus (MEX),,Spanish,"Personal: Adrian Palma (MEX), his brother","Practiced taekwondo in his youth. At the age of 11, he and his brothers were invited to an athletic race. There, they were approached by a coach named Fernando Infante, who suggested they join a summer training program and introduced them to race walking",,,,"Brother, Isaac Palma (athletics), 2019 Pan American Race Walking Championships 50km race walk gold medallist",,
