date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_diff,start_order,bib
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1970203,RIJKEN Frank,Person,NED,Netherlands,22.0,80.298,POINTS,6.534,,168
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1953618,SOARES Diogo,Person,BRA,Brazil,23.0,78.698,POINTS,8.134,,108
2024-07-31T20:13:54+02:00,GARM1AA---------------FNL---------,GARM1AA,Men's All-Around,Men's All-Around Final,Final Results,M,Artistic Gymnastics,GAR,,1931576,KARIMI Milad,Person,KAZ,Kazakhstan,24.0,76.065,POINTS,10.767,,159
2024-08-03T16:09:46+02:00,GARM1APFX-------------FNL-000001--,GARM1APFX,Men's Floor Exercise,Men's Floor Exercise Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1975874,YULO Carlos Edriel,Person,PHI,Philippines,1.0,15.000,POINTS,,3,170
2024-08-03T16:09:46+02:00,GARM1APFX-------------FNL-000001--,GARM1APFX,Men's Floor Exercise,Men's Floor Exercise Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1908195,DOLGOPYAT Artem,Person,ISR,Israel,2.0,14.966,POINTS,0.034,2,147
2024-08-03T16:09:46+02:00,GARM1APFX-------------FNL-000001--,GARM1APFX,Men's Floor Exercise,Men's Floor Exercise Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1904741,JARMAN Jake,Person,GBR,Great Britain,3.0,14.933,POINTS,0.067,6,134
2024-08-03T16:09:46+02:00,GARM1APFX-------------FNL-000001--,GARM1APFX,Men's Floor Exercise,Men's Floor Exercise Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1897555,KOVTUN Illia,Person,UKR,Ukraine,4.0,14.533,POINTS,0.467,7,185
2024-08-03T16:09:46+02:00,GARM1APFX-------------FNL-000001--,GARM1APFX,Men's Floor Exercise,Men's Floor Exercise Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1931576,KARIMI Milad,Person,KAZ,Kazakhstan,5.0,14.500,POINTS,0.500,5,159
2024-08-03T16:09:46+02:00,GARM1APFX-------------FNL-000001--,GARM1APFX,Men's Floor Exercise,Men's Floor Exercise Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1904754,WHITEHOUSE Luke,Person,GBR,Great Britain,6.0,14.466,POINTS,0.534,8,135
2024-08-03T16:09:46+02:00,GARM1APFX-------------FNL-000001--,GARM1APFX,Men's Floor Exercise,Men's Floor Exercise Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1935792,ZAPATA Rayderley,Person,ESP,Spain,7.0,14.333,POINTS,0.667,1,130
2024-08-03T16:09:46+02:00,GARM1APFX-------------FNL-000001--,GARM1APFX,Men's Floor Exercise,Men's Floor Exercise Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1918864,ZHANG Boheng,Person,CHN,China,8.0,13.933,POINTS,1.067,4,118
2024-08-03T16:09:46+02:00,GARM1APFX-------------FNL-000001--,GARM1APFX,Men's Floor Exercise,Men's Floor Exercise Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1919480,OKA Shinnosuke,Person,JPN,Japan,,,NO_SCORE,,9,156
2024-08-03T16:09:46+02:00,GARM1APFX-------------FNL-000001--,GARM1APFX,Men's Floor Exercise,Men's Floor Exercise Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1940560,RYU Sunghyun,Person,KOR,Korea,,,NO_SCORE,,10,163
2024-08-03T16:09:46+02:00,GARM1APFX-------------FNL-000001--,GARM1APFX,Men's Floor Exercise,Men's Floor Exercise Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1935787,PLATA Joel,Person,ESP,Spain,,,NO_SCORE,,11,129
2024-08-05T14:24:57+02:00,GARM1APHB-------------FNL-000001--,GARM1APHB,Men's Horizontal Bar,Men's Horizontal Bar Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1919480,OKA Shinnosuke,Person,JPN,Japan,1.0,14.533,POINTS,,2,156
2024-08-05T14:24:57+02:00,GARM1APHB-------------FNL-000001--,GARM1APHB,Men's Horizontal Bar,Men's Horizontal Bar Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1935685,BARAJAS Angel,Person,COL,Colombia,2.0,14.533,POINTS,0.000,3,120
2024-08-05T14:24:57+02:00,GARM1APHB-------------FNL-000001--,GARM1APHB,Men's Horizontal Bar,Men's Horizontal Bar Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1918864,ZHANG Boheng,Person,CHN,China,3.0,13.966,POINTS,0.567,6,118
2024-08-05T14:24:57+02:00,GARM1APHB-------------FNL-000001--,GARM1APHB,Men's Horizontal Bar,Men's Horizontal Bar Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1878037,TANG Chia-Hung,Person,TPE,Chinese Taipei,3.0,13.966,POINTS,0.567,1,178
2024-08-05T14:24:57+02:00,GARM1APHB-------------FNL-000001--,GARM1APHB,Men's Horizontal Bar,Men's Horizontal Bar Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1918858,SU Weide,Person,CHN,China,5.0,13.433,POINTS,1.100,8,116
2024-08-05T14:24:57+02:00,GARM1APHB-------------FNL-000001--,GARM1APHB,Men's Horizontal Bar,Men's Horizontal Bar Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1555033,GEORGIOU Marios,Person,CYP,Cyprus,6.0,13.333,POINTS,1.200,4,123
2024-08-05T14:24:57+02:00,GARM1APHB-------------FNL-000001--,GARM1APHB,Men's Horizontal Bar,Men's Horizontal Bar Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1919479,SUGINO Takaaki,Person,JPN,Japan,7.0,11.633,POINTS,2.900,5,157
2024-08-05T14:24:57+02:00,GARM1APHB-------------FNL-000001--,GARM1APHB,Men's Horizontal Bar,Men's Horizontal Bar Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1928054,SRBIC Tin,Person,CRO,Croatia,8.0,11.333,POINTS,3.200,7,122
2024-08-05T14:24:57+02:00,GARM1APHB-------------FNL-000001--,GARM1APHB,Men's Horizontal Bar,Men's Horizontal Bar Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1551050,ABBADINI Yumin,Person,ITA,Italy,,,NO_SCORE,,9,148
2024-08-05T14:24:57+02:00,GARM1APHB-------------FNL-000001--,GARM1APHB,Men's Horizontal Bar,Men's Horizontal Bar Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1904734,FRASER Joe,Person,GBR,Great Britain,,,NO_SCORE,,10,132
2024-08-05T14:24:57+02:00,GARM1APHB-------------FNL-000001--,GARM1APHB,Men's Horizontal Bar,Men's Horizontal Bar Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1959811,RICHARD Frederick,Person,USA,United States,,,NO_SCORE,,11,193
2024-08-05T12:22:49+02:00,GARM1APPB-------------FNL-000001--,GARM1APPB,Men's Parallel Bars,Men's Parallel Bars Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1918865,ZOU Jingyuan,Person,CHN,China,1.0,16.200,POINTS,,6,119
2024-08-05T12:22:49+02:00,GARM1APPB-------------FNL-000001--,GARM1APPB,Men's Parallel Bars,Men's Parallel Bars Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1897555,KOVTUN Illia,Person,UKR,Ukraine,2.0,15.500,POINTS,0.700,1,185
2024-08-05T12:22:49+02:00,GARM1APPB-------------FNL-000001--,GARM1APPB,Men's Parallel Bars,Men's Parallel Bars Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1919480,OKA Shinnosuke,Person,JPN,Japan,3.0,15.300,POINTS,0.900,8,156
2024-08-05T12:22:49+02:00,GARM1APPB-------------FNL-000001--,GARM1APPB,Men's Parallel Bars,Men's Parallel Bars Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1918864,ZHANG Boheng,Person,CHN,China,4.0,15.100,POINTS,1.100,2,118
2024-08-05T12:22:49+02:00,GARM1APPB-------------FNL-000001--,GARM1APPB,Men's Parallel Bars,Men's Parallel Bars Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1568162,ARICAN Ferhat,Person,TUR,Türkiye,5.0,15.100,POINTS,1.100,3,179
2024-08-05T12:22:49+02:00,GARM1APPB-------------FNL-000001--,GARM1APPB,Men's Parallel Bars,Men's Parallel Bars Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1919490,TANIGAWA Wataru,Person,JPN,Japan,6.0,14.133,POINTS,2.067,4,158
2024-08-05T12:22:49+02:00,GARM1APPB-------------FNL-000001--,GARM1APPB,Men's Parallel Bars,Men's Parallel Bars Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1896188,DAUSER Lukas,Person,GER,Germany,7.0,13.700,POINTS,2.500,7,138
2024-08-05T12:22:49+02:00,GARM1APPB-------------FNL-000001--,GARM1APPB,Men's Parallel Bars,Men's Parallel Bars Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1897556,VERNIAIEV Oleg,Person,UKR,Ukraine,8.0,13.300,POINTS,2.900,5,188
2024-08-05T12:22:49+02:00,GARM1APPB-------------FNL-000001--,GARM1APPB,Men's Parallel Bars,Men's Parallel Bars Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1919491,KAYA Kazuma,Person,JPN,Japan,,,NO_SCORE,,9,155
2024-08-05T12:22:49+02:00,GARM1APPB-------------FNL-000001--,GARM1APPB,Men's Parallel Bars,Men's Parallel Bars Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1904734,FRASER Joe,Person,GBR,Great Britain,,,NO_SCORE,,10,132
2024-08-05T12:22:49+02:00,GARM1APPB-------------FNL-000001--,GARM1APPB,Men's Parallel Bars,Men's Parallel Bars Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1919492,HASHIMOTO Daiki,Person,JPN,Japan,,,NO_SCORE,,11,154
2024-08-05T12:22:49+02:00,GARM1APPB-------------FNL-000001--,GARM1APPB,Men's Parallel Bars,Men's Parallel Bars Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1918860,XIAO Ruoteng,Person,CHN,China,,,NO_SCORE,,12,117
2024-08-05T12:22:49+02:00,GARM1APPB-------------FNL-000001--,GARM1APPB,Men's Parallel Bars,Men's Parallel Bars Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1895493,MESZAROS Krisztofer,Person,HUN,Hungary,,,NO_SCORE,,13,144
2024-08-05T12:22:49+02:00,GARM1APPB-------------FNL-000001--,GARM1APPB,Men's Parallel Bars,Men's Parallel Bars Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1935685,BARAJAS Angel,Person,COL,Colombia,,,NO_SCORE,,14,120
2024-08-03T18:16:11+02:00,GARM1APPH-------------FNL-000001--,GARM1APPH,Men's Pommel Horse,Men's Pommel Horse Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1539986,Mc CLENAGHAN Rhys,Person,IRL,Ireland,1.0,15.533,POINTS,,4,146
2024-08-03T18:16:11+02:00,GARM1APPH-------------FNL-000001--,GARM1APPH,Men's Pommel Horse,Men's Pommel Horse Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1931577,KURBANOV Nariman,Person,KAZ,Kazakhstan,2.0,15.433,POINTS,0.100,1,160
2024-08-03T18:16:11+02:00,GARM1APPH-------------FNL-000001--,GARM1APPH,Men's Pommel Horse,Men's Pommel Horse Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1959865,NEDOROSCIK Stephen,Person,USA,United States,3.0,15.300,POINTS,0.233,5,192
2024-08-03T18:16:11+02:00,GARM1APPH-------------FNL-000001--,GARM1APPH,Men's Pommel Horse,Men's Pommel Horse Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1904755,WHITLOCK Max,Person,GBR,Great Britain,4.0,15.200,POINTS,0.333,2,136
2024-08-03T18:16:11+02:00,GARM1APPH-------------FNL-000001--,GARM1APPH,Men's Pommel Horse,Men's Pommel Horse Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1897556,VERNIAIEV Oleg,Person,UKR,Ukraine,5.0,14.966,POINTS,0.567,7,188
2024-08-03T18:16:11+02:00,GARM1APPH-------------FNL-000001--,GARM1APPH,Men's Pommel Horse,Men's Pommel Horse Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1919479,SUGINO Takaaki,Person,JPN,Japan,6.0,14.933,POINTS,0.600,6,157
2024-08-03T18:16:11+02:00,GARM1APPH-------------FNL-000001--,GARM1APPH,Men's Pommel Horse,Men's Pommel Horse Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1940551,HUR Woong,Person,KOR,Korea,7.0,14.300,POINTS,1.233,8,161
2024-08-03T18:16:11+02:00,GARM1APPH-------------FNL-000001--,GARM1APPH,Men's Pommel Horse,Men's Pommel Horse Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1970215,de MUNCK Loran,Person,NED,Netherlands,8.0,13.733,POINTS,1.800,3,165
2024-08-03T18:16:11+02:00,GARM1APPH-------------FNL-000001--,GARM1APPH,Men's Pommel Horse,Men's Pommel Horse Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1918865,ZOU Jingyuan,Person,CHN,China,,,NO_SCORE,,9,119
2024-08-03T18:16:11+02:00,GARM1APPH-------------FNL-000001--,GARM1APPH,Men's Pommel Horse,Men's Pommel Horse Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1896190,DUNKEL Nils,Person,GER,Germany,,,NO_SCORE,,10,139
2024-08-03T18:16:11+02:00,GARM1APPH-------------FNL-000001--,GARM1APPH,Men's Pommel Horse,Men's Pommel Horse Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1919480,OKA Shinnosuke,Person,JPN,Japan,,,NO_SCORE,,11,156
2024-08-04T15:32:36+02:00,GARM1APSR-------------FNL-000001--,GARM1APSR,Men's Rings,Men's Rings Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1918856,LIU Yang,Person,CHN,China,1.0,15.300,POINTS,,2,115
2024-08-04T15:32:36+02:00,GARM1APSR-------------FNL-000001--,GARM1APSR,Men's Rings,Men's Rings Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1918865,ZOU Jingyuan,Person,CHN,China,2.0,15.233,POINTS,0.067,1,119
2024-08-04T15:32:36+02:00,GARM1APSR-------------FNL-000001--,GARM1APSR,Men's Rings,Men's Rings Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1961314,PETROUNIAS Eleftherios,Person,GRE,Greece,3.0,15.100,POINTS,0.200,3,142
2024-08-04T15:32:36+02:00,GARM1APSR-------------FNL-000001--,GARM1APSR,Men's Rings,Men's Rings Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1903477,AIT SAID Samir,Person,FRA,France,4.0,15.000,POINTS,0.300,6,131
2024-08-04T15:32:36+02:00,GARM1APSR-------------FNL-000001--,GARM1APSR,Men's Rings,Men's Rings Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1568169,ASIL Adem,Person,TUR,Türkiye,5.0,14.966,POINTS,0.334,5,180
2024-08-04T15:32:36+02:00,GARM1APSR-------------FNL-000001--,GARM1APSR,Men's Rings,Men's Rings Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1915841,DAVTYAN Vahagn,Person,ARM,Armenia,6.0,14.866,POINTS,0.434,8,102
2024-08-04T15:32:36+02:00,GARM1APSR-------------FNL-000001--,GARM1APSR,Men's Rings,Men's Rings Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1904740,HEPWORTH Harry,Person,GBR,Great Britain,7.0,14.800,POINTS,0.500,7,133
2024-08-04T15:32:36+02:00,GARM1APSR-------------FNL-000001--,GARM1APSR,Men's Rings,Men's Rings Final,Final,M,Artistic Gymnastics,GAR,Bercy Arena,1903189,CUYLE Glen,Person,BEL,Belgium,8.0,13.833,POINTS,1.467,4,104
