date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_diff,qualification_mark,start_order
2024-08-02T20:26:19+02:00,GTRM1TRA--------------FNL-000001--,GTRM1TRA,Men,Men's Final,Final,M,Trampoline Gymnastics,GTR,Bercy Arena,1543408,HERNANDEZ Angel,Person,COL,Colombia,7.0,53.150,POINTS,9.940,,2
2024-08-02T20:26:19+02:00,GTRM1TRA--------------FNL-000001--,GTRM1TRA,Men,Men's Final,Final,M,Trampoline Gymnastics,GTR,Bercy Arena,1891003,SCHMIDT Dylan,Person,NZL,New Zealand,8.0,19.500,POINTS,43.590,,5
2024-08-02T20:26:19+02:00,GTRM1TRA--------------FNL-000001--,GTRM1TRA,Men,Men's Final,Final,M,Trampoline Gymnastics,GTR,Bercy Arena,1927552,MUSSABAYEV Danil,Person,KAZ,Kazakhstan,,,NO_SCORE,,,R1
2024-08-02T20:26:19+02:00,GTRM1TRA--------------FNL-000001--,GTRM1TRA,Men,Men's Final,Final,M,Trampoline Gymnastics,GTR,Bercy Arena,1959778,SHOSTAK Aliaksei,Person,USA,United States,,,NO_SCORE,,,R2
2024-08-02T13:35:08+02:00,GTRW1TRA--------------QUAL000001--,GTRW1TRA,Women,Women's Qualification,Qualification,W,Trampoline Gymnastics,GTR,Bercy Arena,1918799,ZHU Xueying,Person,CHN,China,1.0,56.720,POINTS,,Q,13
2024-08-02T13:35:08+02:00,GTRW1TRA--------------QUAL000001--,GTRW1TRA,Women,Women's Qualification,Qualification,W,Trampoline Gymnastics,GTR,Bercy Arena,1938437,BARDZILOUSKAYA Viyaleta,Person,AIN,AIN,2.0,56.340,POINTS,0.380,Q,15
2024-08-02T13:35:08+02:00,GTRW1TRA--------------QUAL000001--,GTRW1TRA,Women,Women's Qualification,Qualification,W,Trampoline Gymnastics,GTR,Bercy Arena,1918800,HU Yicheng,Person,CHN,China,3.0,56.270,POINTS,0.450,Q,16
2024-08-02T13:35:08+02:00,GTRW1TRA--------------QUAL000001--,GTRW1TRA,Women,Women's Qualification,Qualification,W,Trampoline Gymnastics,GTR,Bercy Arena,1980201,BLADTCEVA Anzhela,Person,AIN,AIN,4.0,55.710,POINTS,1.010,Q,4
2024-08-02T13:35:08+02:00,GTRW1TRA--------------QUAL000001--,GTRW1TRA,Women,Women's Qualification,Qualification,W,Trampoline Gymnastics,GTR,Bercy Arena,1904745,PAGE Bryony,Person,GBR,Great Britain,5.0,55.620,POINTS,1.100,Q,9
2024-08-02T13:35:08+02:00,GTRW1TRA--------------QUAL000001--,GTRW1TRA,Women,Women's Qualification,Qualification,W,Trampoline Gymnastics,GTR,Bercy Arena,1919628,MORI Hikaru,Person,JPN,Japan,6.0,55.150,POINTS,1.570,Q,7
2024-08-02T13:35:08+02:00,GTRW1TRA--------------QUAL000001--,GTRW1TRA,Women,Women's Qualification,Qualification,W,Trampoline Gymnastics,GTR,Bercy Arena,1891002,DAVIDSON Madaline,Person,NZL,New Zealand,7.0,54.740,POINTS,1.980,Q,1
2024-08-02T13:35:08+02:00,GTRW1TRA--------------QUAL000001--,GTRW1TRA,Women,Women's Qualification,Qualification,W,Trampoline Gymnastics,GTR,Bercy Arena,1973102,METHOT Sophiane,Person,CAN,Canada,8.0,54.640,POINTS,2.080,Q,11
2024-08-02T13:35:08+02:00,GTRW1TRA--------------QUAL000001--,GTRW1TRA,Women,Women's Qualification,Qualification,W,Trampoline Gymnastics,GTR,Bercy Arena,1935817,ROMERO ROSARIO Noemi,Person,ESP,Spain,9.0,54.250,POINTS,2.470,R1,2
2024-08-02T13:35:08+02:00,GTRW1TRA--------------QUAL000001--,GTRW1TRA,Women,Women's Qualification,Qualification,W,Trampoline Gymnastics,GTR,Bercy Arena,1972351,MAHSUDOVA Seljan,Person,AZE,Azerbaijan,10.0,53.750,POINTS,2.970,R2,14
2024-08-02T13:35:08+02:00,GTRW1TRA--------------QUAL000001--,GTRW1TRA,Women,Women's Qualification,Qualification,W,Trampoline Gymnastics,GTR,Bercy Arena,1551270,GOLOVINA Luba,Person,GEO,Georgia,11.0,53.620,POINTS,3.100,,3
2024-08-02T13:35:08+02:00,GTRW1TRA--------------QUAL000001--,GTRW1TRA,Women,Women's Qualification,Qualification,W,Trampoline Gymnastics,GTR,Bercy Arena,1903523,LABROUSSE Lea,Person,FRA,France,12.0,53.220,POINTS,3.500,,8
2024-08-02T13:35:08+02:00,GTRW1TRA--------------QUAL000001--,GTRW1TRA,Women,Women's Qualification,Qualification,W,Trampoline Gymnastics,GTR,Bercy Arena,1959822,STEVENS Jessica,Person,USA,United States,13.0,53.170,POINTS,3.550,,12
2024-08-02T13:35:08+02:00,GTRW1TRA--------------QUAL000001--,GTRW1TRA,Women,Women's Qualification,Qualification,W,Trampoline Gymnastics,GTR,Bercy Arena,1904748,SONGHURST Isabelle,Person,GBR,Great Britain,14.0,52.920,POINTS,3.800,,10
2024-08-02T13:35:08+02:00,GTRW1TRA--------------QUAL000001--,GTRW1TRA,Women,Women's Qualification,Qualification,W,Trampoline Gymnastics,GTR,Bercy Arena,1953705,GOMES Camilla,Person,BRA,Brazil,15.0,50.580,POINTS,6.140,,5
2024-08-02T13:35:08+02:00,GTRW1TRA--------------QUAL000001--,GTRW1TRA,Women,Women's Qualification,Qualification,W,Trampoline Gymnastics,GTR,Bercy Arena,1564349,HAMZA Malak,Person,EGY,Egypt,16.0,9.650,POINTS,47.070,,6
2024-08-02T14:22:42+02:00,GTRW1TRA--------------FNL-000001--,GTRW1TRA,Women,Women's Final,Final,W,Trampoline Gymnastics,GTR,Bercy Arena,1904745,PAGE Bryony,Person,GBR,Great Britain,1.0,56.480,POINTS,,,7
2024-08-02T14:22:42+02:00,GTRW1TRA--------------FNL-000001--,GTRW1TRA,Women,Women's Final,Final,W,Trampoline Gymnastics,GTR,Bercy Arena,1938437,BARDZILOUSKAYA Viyaleta,Person,AIN,AIN,2.0,56.060,POINTS,0.420,,1
2024-08-02T14:22:42+02:00,GTRW1TRA--------------FNL-000001--,GTRW1TRA,Women,Women's Final,Final,W,Trampoline Gymnastics,GTR,Bercy Arena,1973102,METHOT Sophiane,Person,CAN,Canada,3.0,55.650,POINTS,0.830,,6
2024-08-02T14:22:42+02:00,GTRW1TRA--------------FNL-000001--,GTRW1TRA,Women,Women's Final,Final,W,Trampoline Gymnastics,GTR,Bercy Arena,1918799,ZHU Xueying,Person,CHN,China,4.0,55.510,POINTS,0.970,,2
2024-08-02T14:22:42+02:00,GTRW1TRA--------------FNL-000001--,GTRW1TRA,Women,Women's Final,Final,W,Trampoline Gymnastics,GTR,Bercy Arena,1980201,BLADTCEVA Anzhela,Person,AIN,AIN,5.0,55.020,POINTS,1.460,,4
2024-08-02T14:22:42+02:00,GTRW1TRA--------------FNL-000001--,GTRW1TRA,Women,Women's Final,Final,W,Trampoline Gymnastics,GTR,Bercy Arena,1919628,MORI Hikaru,Person,JPN,Japan,6.0,54.740,POINTS,1.740,,3
2024-08-02T14:22:42+02:00,GTRW1TRA--------------FNL-000001--,GTRW1TRA,Women,Women's Final,Final,W,Trampoline Gymnastics,GTR,Bercy Arena,1891002,DAVIDSON Madaline,Person,NZL,New Zealand,7.0,54.230,POINTS,2.250,,5
2024-08-02T14:22:42+02:00,GTRW1TRA--------------FNL-000001--,GTRW1TRA,Women,Women's Final,Final,W,Trampoline Gymnastics,GTR,Bercy Arena,1918800,HU Yicheng,Person,CHN,China,8.0,11.790,POINTS,44.690,,8
2024-08-02T14:22:42+02:00,GTRW1TRA--------------FNL-000001--,GTRW1TRA,Women,Women's Final,Final,W,Trampoline Gymnastics,GTR,Bercy Arena,1935817,ROMERO ROSARIO Noemi,Person,ESP,Spain,,,NO_SCORE,,,R1
2024-08-02T14:22:42+02:00,GTRW1TRA--------------FNL-000001--,GTRW1TRA,Women,Women's Final,Final,W,Trampoline Gymnastics,GTR,Bercy Arena,1972351,MAHSUDOVA Seljan,Person,AZE,Azerbaijan,,,NO_SCORE,,,R2
