date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,bib
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1956191,VACEK Mathias,Person,CZE,Czechia,11.0,37:55.62,TIME,,+1:43.46,25
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1543314,MULLEN Ryan,Person,IRL,Ireland,12.0,37:57.16,TIME,,+1:45.00,26
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1878413,FOSS Tobias,Person,NOR,Norway,13.0,37:57.28,TIME,,+1:45.12,8
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1879163,SKJELMOSE Mattias,Person,DEN,Denmark,14.0,37:57.69,TIME,,+1:45.53,18
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1895719,VAUQUELIN Kevin,Person,FRA,France,15.0,38:04.93,TIME,,+1:52.77,19
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1955101,SHEFFIELD Magnus,Person,USA,United States,16.0,38:05.24,TIME,,+1:53.08,13
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1969199,HOOLE Daan,Person,NED,Netherlands,17.0,38:06.68,TIME,,+1:54.52,15
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1911272,BETTIOL Alberto,Person,ITA,Italy,18.0,38:06.77,TIME,,+1:54.61,31
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1566117,GROSSSCHARTNER Felix,Person,AUT,Austria,19.0,38:17.36,TIME,,+2:05.20,23
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1966665,GEE Derek,Person,CAN,Canada,20.0,38:28.17,TIME,,+2:16.01,16
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1928202,FEDOROV Yevgeniy,Person,KAZ,Kazakhstan,21.0,38:33.98,TIME,,+2:21.82,10
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1894383,VALTER Attila,Person,HUN,Hungary,22.0,38:45.68,TIME,,+2:33.52,22
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1572951,KWIATKOWSKI Michal,Person,POL,Poland,23.0,38:49.60,TIME,,+2:37.44,24
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1945059,PITHIE Laurence,Person,NZL,New Zealand,24.0,38:49.76,TIME,,+2:37.60,30
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1933812,COSTA Rui,Person,POR,Portugal,25.0,39:00.07,TIME,,+2:47.91,28
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1928262,LAZKANO Oier,Person,ESP,Spain,26.0,39:08.86,TIME,,+2:56.70,27
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1981126,TRATNIK Jan,Person,SLO,Slovenia,27.0,39:38.12,TIME,,+3:25.96,33
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1896769,SAINBAYAR Jambaljamts,Person,MGL,Mongolia,28.0,40:19.93,TIME,,+4:07.77,21
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1548538,GIRMAY Biniam,Person,ERI,Eritrea,29.0,40:20.65,TIME,,+4:08.49,20
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1894533,ANSARI Amir,Person,EOR,EOR,30.0,40:26.14,TIME,,+4:13.98,34
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1979050,SYRITSA Gleb,Person,AIN,AIN,31.0,40:33.30,TIME,,+4:21.14,32
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1548949,ED DOGHMY Achraf,Person,MAR,Morocco,32.0,43:31.37,TIME,,+7:19.21,29
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1878406,WAERENSKJOLD Soeren,Person,NOR,Norway,,,IRM,DNF,,17
2024-07-27T18:06:44+02:00,CRDMTT----------------FNL-000100--,CRDMTT,Men's Individual Time Trial,Men's Individual Time Trial,Men's Individual Time Trial,M,Cycling Road,CRD,Pont Alexandre III,1940179,PLAPP Lucas,Person,AUS,Australia,,,IRM,DNF,,9
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1903136,EVENEPOEL Remco,Person,BEL,Belgium,1.0,6:19:34,TIME,,+0,6
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1895699,MADOUAS Valentin,Person,FRA,France,2.0,6:20:45,TIME,,+1:11,25
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1895694,LAPORTE Christophe,Person,FRA,France,3.0,6:20:50,TIME,,+1:16,24
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1894383,VALTER Attila,Person,HUN,Hungary,4.0,6:20:50,TIME,,+1:16,67
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1947986,SKUJINS Toms,Person,LAT,Latvia,5.0,6:20:50,TIME,,+1:16,60
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1566118,HALLER Marco,Person,AUT,Austria,6.0,6:20:50,TIME,,+1:16,56
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1977695,KUENG Stefan,Person,SUI,Switzerland,7.0,6:20:50,TIME,,+1:16,40
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1981126,TRATNIK Jan,Person,SLO,Slovenia,8.0,6:20:50,TIME,,+1:16,12
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1955086,JORGENSON Matteo,Person,USA,United States,9.0,6:20:50,TIME,,+1:16,31
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1539983,HEALY Ben,Person,IRL,Ireland,10.0,6:20:54,TIME,,+1:20,51
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1895639,ALAPHILIPPE Julian,Person,FRA,France,11.0,6:20:59,TIME,,+1:25,23
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1969202,van der POEL Mathieu,Person,NED,Netherlands,12.0,6:21:23,TIME,,+1:49,1
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1912546,PIDCOCK Thomas,Person,GBR,Great Britain,13.0,6:21:24,TIME,,+1:50,27
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1956191,VACEK Mathias,Person,CZE,Czechia,14.0,6:21:25,TIME,,+1:51,61
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1940185,MATTHEWS Michael,Person,AUS,Australia,15.0,6:21:47,TIME,,+2:13,35
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1976567,HIRSCHI Marc,Person,SUI,Switzerland,16.0,6:21:47,TIME,,+2:13,39
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1879163,SKJELMOSE Mattias,Person,DEN,Denmark,17.0,6:21:47,TIME,,+2:13,19
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1928243,ARANBURU Alex,Person,ESP,Spain,18.0,6:21:47,TIME,,+2:13,13
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1911167,BUITRAGO Santi,Person,COL,Colombia,19.0,6:21:49,TIME,,+2:15,37
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1879169,PEDERSEN Mads,Person,DEN,Denmark,20.0,6:21:54,TIME,,+2:20,18
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1942757,STUYVEN Jasper,Person,BEL,Belgium,21.0,6:21:54,TIME,,+2:20,7
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1928245,AYUSO Juan,Person,ESP,Spain,22.0,6:21:54,TIME,,+2:20,14
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1911272,BETTIOL Alberto,Person,ITA,Italy,23.0,6:21:54,TIME,,+2:20,20
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1955094,McNULTY Brandon,Person,USA,United States,24.0,6:21:54,TIME,,+2:20,32
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1911163,MARTINEZ Dani,Person,COL,Colombia,25.0,6:21:54,TIME,,+2:20,38
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1566117,GROSSSCHARTNER Felix,Person,AUT,Austria,26.0,6:21:54,TIME,,+2:20,55
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1945067,STRONG Corbin,Person,NZL,New Zealand,27.0,6:22:31,TIME,,+2:57,48
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1889758,SCHACHMANN Maximilian,Person,GER,Germany,28.0,6:22:33,TIME,,+2:59,44
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1568831,KUBIS Lukas,Person,SVK,Slovakia,29.0,6:23:16,TIME,,+3:42,75
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1888062,MIHKELS Madis,Person,EST,Estonia,30.0,6:23:16,TIME,,+3:42,65
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1977948,WILLIAMS Stephen,Person,GBR,Great Britain,31.0,6:23:16,TIME,,+3:42,29
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1940191,CLARKE Simon,Person,AUS,Australia,32.0,6:23:16,TIME,,+3:42,34
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1933810,OLIVEIRA Nelson,Person,POR,Portugal,33.0,6:23:16,TIME,,+3:42,46
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1895719,VAUQUELIN Kevin,Person,FRA,France,34.0,6:23:16,TIME,,+3:42,26
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1928262,LAZKANO Oier,Person,ESP,Spain,35.0,6:23:16,TIME,,+3:42,15
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1969196,van BAARLE Dylan,Person,NED,Netherlands,36.0,6:23:16,TIME,,+3:42,3
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1903147,van AERT Wout,Person,BEL,Belgium,37.0,6:23:21,TIME,,+3:47,8
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1981180,MEZGEC Luka,Person,SLO,Slovenia,38.0,6:26:57,TIME,,+7:23,9
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1945059,PITHIE Laurence,Person,NZL,New Zealand,39.0,6:26:57,TIME,,+7:23,47
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1898321,KIRSCH Alex,Person,LUX,Luxembourg,40.0,6:26:57,TIME,,+7:23,63
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1966695,WOODS Michael,Person,CAN,Canada,41.0,6:26:57,TIME,,+7:23,59
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1955101,SHEFFIELD Magnus,Person,USA,United States,42.0,6:26:57,TIME,,+7:23,33
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1912577,WRIGHT Fred,Person,GBR,Great Britain,43.0,6:26:57,TIME,,+7:23,30
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1966665,GEE Derek,Person,CAN,Canada,44.0,6:26:57,TIME,,+7:23,58
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1961877,NARVAEZ Jhonatan,Person,ECU,Ecuador,45.0,6:26:57,TIME,,+7:23,4
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1933812,COSTA Rui,Person,POR,Portugal,46.0,6:26:57,TIME,,+7:23,45
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1912562,TARLING Josh,Person,GBR,Great Britain,47.0,6:26:57,TIME,,+7:23,28
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1903127,BENOOT Tiesj,Person,BEL,Belgium,48.0,6:26:57,TIME,,+7:23,5
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1548538,GIRMAY Biniam,Person,ERI,Eritrea,49.0,6:26:57,TIME,,+7:23,49
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1911399,MOZZATO Luca,Person,ITA,Italy,50.0,6:26:57,TIME,,+7:23,21
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1940167,O'CONNOR Ben,Person,AUS,Australia,51.0,6:26:57,TIME,,+7:23,36
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1928201,LUTSENKO Alexey,Person,KAZ,Kazakhstan,52.0,6:26:57,TIME,,+7:23,54
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1918038,AULAR SANABRIA Orluis Alberto,Person,VEN,Venezuela,53.0,6:26:57,TIME,,+7:23,62
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1934531,SEPULVEDA Eduardo,Person,ARG,Argentina,54.0,6:28:31,TIME,,+8:57,87
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1912639,FAGUNDEZ Eric,Person,URU,Uruguay,55.0,6:28:31,TIME,,+8:57,64
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1945759,ARASHIRO Yukiya,Person,JPN,Japan,56.0,6:28:31,TIME,,+8:57,68
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1896769,SAINBAYAR Jambaljamts,Person,MGL,Mongolia,57.0,6:28:31,TIME,,+8:57,69
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1569169,SODERQVIST Jakob,Person,SWE,Sweden,58.0,6:33:56,TIME,,+14:22,82
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1879160,MOERKOEV Michael,Person,DEN,Denmark,59.0,6:36:31,TIME,,+16:57,17
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1543314,MULLEN Ryan,Person,IRL,Ireland,60.0,6:36:31,TIME,,+16:57,52
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1572928,ANIOLKOWSKI Stanislaw,Person,POL,Poland,61.0,6:38:03,TIME,,+18:29,57
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1898787,EINHORN Itamar,Person,ISR,Israel,62.0,6:39:27,TIME,,+19:53,79
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1878406,WAERENSKJOLD Soeren,Person,NOR,Norway,63.0,6:39:27,TIME,,+19:53,42
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1947922,ILIC Ognjen,Person,SRB,Serbia,64.0,6:39:27,TIME,,+19:53,86
2024-08-03T18:12:30+02:00,CRDMRR----------------FNL-000100--,CRDMRR,Men's Road Race,Men's Road Race,Men's Road Race,M,Cycling Road,CRD,Trocadéro,1931269,KIM Euro,Person,KOR,Korea,65.0,6:39:27,TIME,,+19:53,83
